Latitude(deg),Longitude(deg),Time Zone,Tilt(deg),PV Azimuth(deg),GroundClearance(panel slope lengths),Row-to-Row-Distance rtr,RowType(first interior last single),TransmissionFactor(open area fraction),CellRows(# hor rows in panel),PVfrontSurface(glass or ARglass),PVbackSurface(glass or ARglass),Albedo,Tracking,Backtracking
35.04,-106.62,-7.0,0,180,0.75,2.5,interior,0.013,6,glass,glass,0.25,True,True
Year,Month,Day,Hour,Minute,DNI,DHI,decHRs,ghi,inc,zen,azm,pvFrontSH,aveFrontGroundGHI,GTIfrontBroadBand,pvBackSH,aveBackGroundGHI,GTIbackBroadBand,maxShadow,Tamb,Vwind,No_1_RowFrontGTI,No_2_RowFrontGTI,No_3_RowFrontGTI,No_4_RowFrontGTI,No_5_RowFrontGTI,No_6_RowFrontGTI,No_1_RowBackGTI,No_2_RowBackGTI,No_3_RowBackGTI,No_4_RowBackGTI,No_5_RowBackGTI,No_6_RowBackGTI,beta,sazm,height,D
1981,1,1,8,0,243,12,7.5,28.161157563736293,80.42915162051656,86.18662510963638,121.46119156544235,0.0,4.9299557288551288,56.580954197793162,1.0,4.9299557288551288,7.5162589601182912,2.5,-1.7,1.5,37.511508669220262,37.59009053032122,37.657524246981417,37.713420327276388,37.713422727694187,37.759150775882617,1.1334257346275809,1.0994007056466824,1.0875256395344906,1.1217913413374585,1.1478540970823901,1.2206483818341365,6.7626256529593434,90.0,0.6911218868063298,1.5069574676042252
1981,1,1,9,0,746,33,8.5,188.93154663307689,58.49595075725468,77.93486577533312,129.5170668562467,0.0,16.405641703610549,443.95295365682489,1.0,16.405641703610549,50.98465733736743,2.5,2.2000000000000002,1.5,415.61484259164871,415.94415465687985,416.25923295578775,417.4312543013952,419.29742723130164,421.02425968301003,3.770642731153464,3.7632578276118536,4.3624087127906117,5.1663999669098324,6.4713054613038832,7.5148243268044483,26.390525169936048,90.0,0.52775647402165,1.6042147240310087
1981,1,1,10,0,906,43,9.5,363.4255700883312,48.01903138806218,69.28800905364909,140.71358950701523,0.0,105.15705952239153,681.72520596211552,1.0,105.15705952239153,91.937384425584085,2.5,5.0,2.1000000000000001,646.41425635463349,646.96919358098899,647.61535678387656,648.13369756224472,652.2623313271223,657.59216703010918,43.149630853766645,39.531304271443275,33.658431862447436,28.366925100449372,27.371717710050788,29.694801653528952,44.999999999999993,90.0,0.39644660940672627,1.7928932188134523
1981,1,1,11,0,969,47,10.5,492.13920375280446,52.952293088371285,62.6528938116756,153.96903754376626,0.0,239.33679646783457,657.46997457725456,1.0,239.33679646783457,121.84911603244014,1.673411912311264,8.3000000000000007,1.5,617.22117424486919,617.67564111066633,617.84081873284822,618.44407350436734,621.87019550372088,627.01248242463669,57.906910346764143,45.953267639949082,38.26643227798391,35.516233417679729,36.815743642241159,40.390279482683155,40.316502728212321,90.0,0.42649528914691937,1.7375179948199047
1981,1,1,12,0,996,60,11.5,576.62650538238017,57.10838063936589,58.75482176588168,169.15980301861967,0.0,338.28792420259032,609.68036304107636,1.0,338.28792420259032,147.0178386156183,1.233544444106184,10.6,2.1000000000000001,577.4320936753154,577.64926216349841,578.66969528260267,580.49175381150008,581.21622385737226,581.98749284451844,72.432991809886929,61.415835763894457,55.247108380616005,54.824556594362562,58.070671569247281,64.144931546957949,17.22287497629975,90.0,0.6019552923553335,1.5448397735700983
1981,1,1,13,0,914,47,12.5,529.17179899303881,57.76112658719347,58.16058963746622,185.34841605168873,0.0,314.96963239945711,537.60288802502043,1.0,314.96963239945711,133.95605788288069,1.1126407075845919,13.300000000000001,2.6000000000000001,512.35820322282291,512.74375840726384,513.04066974409136,513.34144481807311,513.5903398519747,513.99415655924633,66.014867518848874,56.665854775488945,51.113098159128711,50.395095937126982,54.072130526879555,60.825215830734713,8.5366416789327104,270.0,0.6757790628754472,1.5110788656473093
1981,1,1,14,0,977,32,13.5,506.1270740379091,54.697129107232975,60.96861007489071,201.03127474361264,0.0,268.27326312237341,613.8083163272986,1.0,268.27326312237341,124.14044318302943,1.5002382180285876,15.6,3.1000000000000001,580.53250567746784,580.65680230884288,580.66011832371373,580.64230637794901,583.99693981135295,586.00985769702459,61.065070111809405,48.88937147492372,41.128967992023526,39.08126012619752,40.660989651537683,43.352037426769606,32.886565027845293,270.0,0.4785112214117486,1.6602527925603816
1981,1,1,15,0,933,29,14.5,397.40054775148229,49.31702248362823,66.74301324643291,215.00477018431633,0.0,143.90416265303054,663.7032328014443,1.0,143.90416265303054,95.16329655224493,2.1800694356894725,16.100000000000001,5.2000000000000002,630.53647704389175,630.78878457077087,631.13607814578108,631.49310603775677,634.209930813185,638.05862069928958,52.656535142977617,42.015636359141553,33.012366616912033,26.786346708656357,25.540127141636656,27.540649893427972,44.999999999999993,270.0,0.39644660940672627,1.7928932188134523
1981,1,1,16,0,827,25,15.5,242.12231576473698,48.977511638906904,74.77904507866589,226.8869950511197,8.88178419700125e-17,13.60910794703755,591.62796871591809,1.0,13.60910794703755,61.615220743902668,2.5,15.6,5.7000000000000002,566.27636931254017,566.71960157351657,567.1424087166414,567.53997724143153,570.01385680818282,573.44083319499236,3.4471941309487941,3.4853908086182162,3.6262755050458901,4.6400458288630055,6.5715648279957737,8.601355547606202,40.381926214557275,270.0,0.42606017810125746,1.7382572828357046
1981,1,1,17,0,513,17,16.5,67.480868470902507,75.75858155725435,84.35276994203626,236.9169624165738,0.0,8.0913249270285323,151.26381075069034,1.0,8.0913249270285323,17.945967425322102,2.5,11.699999999999999,5.2000000000000002,116.09277218022605,116.52985755648781,116.69208916244185,116.85115703139208,116.99242497873786,117.21076310959194,1.9562972028000662,1.9362530229637116,1.9209223756870322,2.0252506324852044,2.0678268171160523,2.2278987780316499,10.307343428460172,270.0,0.6605358423769887,1.5161378866918291
1981,1,1,18,0,0,0,17.5,0.0,88.34298385946965,89.33727113906723,241.46527175362715,0.0,0.0,0.0,1.0,0.0,0.0,2.5,7.7999999999999998,4.0999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1318158322265646,270.0,0.7401236859476896,1.5001951021909523
1981,1,2,8,0,243,12,7.5,28.118900685444995,80.45441114627467,86.19661070252468,121.33511036337988,6.217248937900872e-16,4.9320213457115987,56.448137506460036,1.0,4.9320213457115987,7.5035090945628964,2.5,-2.2000000000000002,1.5,37.386741882498555,37.465279239694276,37.532675110890409,37.588539313131797,37.540393569072059,37.634244251389788,1.1338630638078007,1.1009615696721642,1.0879187843946589,1.1221729601239268,1.1482552545387867,1.2210612058869696,6.735437119606388,90.0,0.6913575073778653,1.5069017006175818
