,Day_M,GTIBackavg_M,GTIFrontavg_M,Hour_M,IMT1_M,IMT2_M,IMT3_M,IMT4_M,IMT5_M,IMT6_M,Minute_M,Month_M,Year_M,CM11_1,CM11_2,Day,Hour,IMT1,IMT2,IMT3,IMT4,IMT5,IMT6,Minute,Month,Year,Day_R,Hour_R,IMT1_Rad,IMT2_Rad,IMT3_Rad,IMT4_Rad,IMT5_Rad,IMT6_Rad,Minute_R,Month_R,Year_R,GTIFrontavg,GTIBackavg,GTIFrontavg_Rad,GTIBackavg_Rad
2017-08-11 17:40:00,11.0,45.4510766745,162.449443291,17.0,43.1170749078,161.830959574,46.1664138029,46.8497246197,163.067927008,45.6710933675,40.0,8.0,2017.0,54.981574,59.522796,11.0,17.0,48.257364,160.04336,53.755024,49.614796,158.55018,47.307134,42.0,8.0,2017.0,11.0,17.0,62.95875,190.1552,64.742,65.83257,191.1801,62.78085,40.0,8.0,2017.0,159.29677,49.7335795,190.66765,64.0785425
2017-08-11 17:45:00,11.0,48.7076523638,166.074132662,17.0,46.9636545414,165.471305776,49.8422580671,50.0637076797,166.676959549,47.9609891668,45.0,8.0,2017.0,55.468438,58.493898,11.0,17.0,53.014068,173.43268,57.765644,52.8783,171.46414,50.366744,47.0,8.0,2017.0,11.0,17.0,68.53911,197.8987,71.62569,70.95811,199.3952,71.88422,45.0,8.0,2017.0,172.44841,53.506189,198.64695,70.7517825
2017-08-11 17:50:00,11.0,45.9680989554,148.523595065,17.0,45.3620487248,147.824598221,47.2974718173,46.9143164786,149.222591908,44.298558801,50.0,8.0,2017.0,41.68237,44.256326,11.0,17.0,49.012834,151.99406,53.085916,47.11205,149.88964,45.211274,52.0,8.0,2017.0,11.0,17.0,69.06826,179.8929,68.70702,68.88029,181.5449,65.48206,50.0,8.0,2017.0,150.94185,48.6055185,180.7189,68.0344075
2017-08-11 17:55:00,11.0,42.0654718662,127.284386962,17.0,42.7053611245,126.617049787,43.3314185806,42.4560785079,127.951724137,39.7690292519,55.0,8.0,2017.0,47.03493,36.880542,11.0,17.0,45.619798,131.7679,47.792168,42.429128,129.52764,41.275054,57.0,8.0,2017.0,11.0,17.0,65.97247,158.3388,66.49839,64.81949,158.7132,64.8727,55.0,8.0,2017.0,130.64777,44.279037,158.526,65.5407625
2017-08-11 18:00:00,11.0,37.2582975141,103.246475924,18.0,39.0883767152,102.61211338,38.2002811475,36.9978322412,103.880838467,34.7466999525,0.0,8.0,2017.0,99.74651,67.071058,11.0,18.0,38.829628,104.066206,40.866144,36.046386,101.758158,35.978498,2.0,8.0,2017.0,11.0,18.0,60.60153,133.5094,60.53641,60.03672,133.5512,60.48392,0.0,8.0,2017.0,102.912182,37.930164,133.5303,60.414645
2017-08-11 18:05:00,11.0,31.4611280145,79.3232294688,18.0,33.7160941094,78.7495091151,31.8328370298,30.7544695153,79.8969498225,29.5411114034,5.0,8.0,2017.0,84.66204,87.654756,11.0,18.0,33.463512,78.194746,35.228322,31.427188,75.819042,31.359312,7.0,8.0,2017.0,11.0,18.0,54.02755,105.8547,54.1244,53.67393,106.2754,53.91726,5.0,8.0,2017.0,77.006894,32.8695835,106.06505,53.935785
2017-08-11 18:10:00,11.0,26.8103308068,64.523003442,18.0,28.4256839623,64.0034618767,26.5378140535,26.0617949192,65.0425450074,26.2160302925,10.0,8.0,2017.0,65.363298,73.419158,11.0,18.0,28.099834,63.258568,29.457314,26.674478,60.88298,26.470858,12.0,8.0,2017.0,11.0,18.0,46.27568,87.95792,46.5629,46.17467,88.91382,46.67841,10.0,8.0,2017.0,62.070774,27.675621,88.43587,46.422915
2017-08-11 18:15:00,11.0,21.0366919117,46.6679963208,18.0,21.2298022259,46.2194469165,20.5647469349,20.7686048445,47.1165457251,21.5836136416,15.0,8.0,2017.0,29.680998,23.32937,11.0,18.0,17.647696,44.458626,19.683968,16.96894,42.5581,16.29018,17.0,8.0,2017.0,11.0,18.0,35.34215,65.34845,35.4316,35.19433,66.1572,35.46183,15.0,8.0,2017.0,43.508363,17.647696,65.752825,35.3574775
2017-08-11 18:20:00,11.0,14.4501882259,31.711614249,18.0,13.7866535082,31.331770076,14.3438610707,14.687001565,32.091458422,14.9832367599,20.0,8.0,2017.0,12.3263658,13.5514372,11.0,18.0,10.9284176,31.495814,13.1005584,10.1817448,30.273994,10.0459888,22.0,8.0,2017.0,11.0,18.0,22.06244,43.27282,22.08799,21.77697,43.81518,21.95059,20.0,8.0,2017.0,30.884904,11.0641774,43.544,21.9694975
2017-08-11 18:25:00,11.0,6.6957843217,23.2027267942,18.0,6.66401113465,23.0994067754,6.76333529879,6.75068500903,23.306046813,6.60510584434,25.0,8.0,2017.0,8.5959918,13.5513612,11.0,18.0,5.294991,22.40184,7.7388266,4.6161472,21.51934,4.6161472,27.0,8.0,2017.0,11.0,18.0,10.07396,25.56537,10.13617,10.04977,26.04523,10.15824,25.0,8.0,2017.0,21.96059,5.566528,25.8053,10.104535
