,Day_M,GTIBackavg_M,GTIFrontavg_M,Hour_M,IMT1_M,IMT2_M,IMT3_M,IMT4_M,IMT5_M,IMT6_M,Minute_M,Month_M,Year_M,CM11_1,CM11_2,Day,Hour,IMT1,IMT2,IMT3,IMT4,IMT5,IMT6,Minute,Month,Year,Day_R,Hour_R,IMT1_Rad,IMT2_Rad,IMT3_Rad,IMT4_Rad,IMT5_Rad,IMT6_Rad,Minute_R,Month_R,Year_R,GTIFrontavg,GTIBackavg,GTIFrontavg_Rad,GTIBackavg_Rad
2017-09-11 13:05:00,11.0,68.7814524056,924.241045992,13.0,79.2288890316,922.675133738,37.4803257978,47.5143499003,925.806958245,110.902244893,5.0,9.0,2017.0,862.3508,824.66912,11.0,13.0,108.68085,926.73662,32.678836,32.678836,953.85594,114.71494,7.0,9.0,2017.0,11.0,13.0,119.0077,924.6489,73.39506,67.0719,925.509,136.7952,5.0,9.0,2017.0,940.29628,72.1883655,925.07895,99.067465
2017-09-11 13:10:00,11.0,53.7971760554,673.946384097,13.0,58.8568491176,672.484810493,30.1919795792,38.7009049224,675.407957702,87.4389706024,10.0,9.0,2017.0,612.02762,585.7935,11.0,13.0,76.204014,656.54772,25.76292,26.644282,675.53096,89.831232,12.0,9.0,2017.0,11.0,13.0,90.92947,676.2077,51.04556,57.76173,676.4354,101.846,10.0,9.0,2017.0,666.03934,54.610612,676.32155,75.39569
2017-09-11 13:15:00,11.0,45.6672832582,495.610564938,13.0,45.0490327116,494.653959064,26.9576405832,35.2564036352,496.567170811,75.406056103,15.0,9.0,2017.0,392.50624,376.2373,11.0,13.0,47.863784,422.50294,20.067514,21.423424,433.48584,67.863468,17.0,9.0,2017.0,11.0,13.0,71.49323,504.8099,57.48807,78.30868,505.4057,130.3235,15.0,9.0,2017.0,427.99439,39.3045475,505.1078,84.40337
2017-09-11 13:20:00,11.0,34.0614098003,242.233690094,13.0,25.3955305411,242.077318439,22.3177145434,30.3078344448,242.390061749,58.2245596716,20.0,9.0,2017.0,223.37872,216.03742,11.0,13.0,25.82946,240.53258,15.456996,17.08405,244.66802,49.896268,22.0,9.0,2017.0,11.0,13.0,32.16967,259.228,28.48172,33.94086,259.5234,58.03271,20.0,9.0,2017.0,242.6003,27.0666935,259.3757,38.15624
2017-09-11 13:25:00,11.0,33.7115015257,237.136736628,13.0,24.9687904116,236.982113009,22.1340939596,30.0779813468,237.291360246,57.6651403848,25.0,9.0,2017.0,222.23926,215.34674,11.0,13.0,25.219442,238.09324,15.728256,18.033258,241.0762,52.065952,27.0,9.0,2017.0,11.0,13.0,31.74458,253.8262,40.51627,47.51675,254.2581,72.36496,25.0,9.0,2017.0,239.58472,27.761727,254.04215,48.03564
2017-09-11 13:30:00,11.0,34.2142831613,217.636688408,13.0,23.8453920997,217.763881359,22.8517047595,31.251249952,217.509495457,58.908785834,30.0,9.0,2017.0,208.6356,203.52856,11.0,13.0,22.101928,221.96858,16.00019,19.186676,223.52786,54.848112,32.0,9.0,2017.0,11.0,13.0,32.07399,227.1205,42.3404,63.01382,227.2717,106.502,30.0,9.0,2017.0,222.74822,28.0342265,227.1961,60.9825525
2017-09-11 13:35:00,11.0,33.0407497625,205.899718472,13.0,22.7533434862,206.026358225,22.1430513306,30.3139307352,205.773078718,56.9526734982,35.0,9.0,2017.0,197.47114,194.63214,11.0,13.0,20.069332,210.59242,16.272434,20.137142,210.86362,56.546714,37.0,9.0,2017.0,11.0,13.0,27.64783,215.3619,31.03271,36.41835,215.6767,60.38496,35.0,9.0,2017.0,210.72802,28.2564055,215.5193,38.8709625
2017-09-11 13:40:00,11.0,33.1251327699,206.06672272,13.0,22.7889319689,206.194573474,22.2057267238,30.4023842984,205.938871966,57.1034880886,40.0,9.0,2017.0,198.2951,196.70204,11.0,13.0,19.6632,211.27772,16.815432,21.561724,211.20992,60.074494,42.0,9.0,2017.0,11.0,13.0,30.41349,215.6792,32.30071,37.1758,215.7986,62.17786,40.0,9.0,2017.0,211.24382,29.5287125,215.7389,40.516965
2017-09-11 13:45:00,11.0,33.7908591608,210.796502664,13.0,23.2855422443,210.926400577,22.6414169285,30.9944351409,210.666604751,58.2420423295,45.0,9.0,2017.0,203.3357,201.86062,11.0,13.0,19.392948,215.22108,17.629958,22.918948,214.47518,64.010316,47.0,9.0,2017.0,11.0,13.0,25.9476,220.7245,28.35157,35.46891,221.0526,62.06902,45.0,9.0,2017.0,214.84813,30.9880425,220.88855,37.959275
2017-09-11 13:50:00,11.0,33.180983761,206.570240867,13.0,22.8387042908,206.700351474,22.2398680237,30.4479934069,206.440130259,57.1973693226,50.0,9.0,2017.0,198.9751,197.9332,11.0,13.0,18.241936,209.88402,17.631616,23.73487,208.45992,65.372614,52.0,9.0,2017.0,11.0,13.0,25.27411,216.1813,26.87109,35.00023,216.4933,60.36707,50.0,9.0,2017.0,209.17197,31.245259,216.3373,36.878125
2017-09-11 13:55:00,11.0,31.7768854449,196.931043651,13.0,21.814825041,197.059970633,21.3141980401,29.1876079755,196.80211667,54.790910723,55.0,9.0,2017.0,188.13024,187.66224,11.0,13.0,16.75083,197.68694,17.632458,23.803816,195.78804,64.42628,57.0,9.0,2017.0,11.0,13.0,24.17036,205.7557,26.07622,33.50748,206.0666,58.772,55.0,9.0,2017.0,196.73749,30.653346,205.91115,35.631515
2017-09-11 14:00:00,11.0,28.8726373579,177.205346125,14.0,19.7038883323,177.329483431,19.3822869428,26.5612949897,177.081208819,49.8430791669,0.0,9.0,2017.0,168.37476,168.30976,11.0,14.0,14.784432,176.26024,17.022444,23.329562,173.75096,60.901008,2.0,9.0,2017.0,11.0,14.0,23.94946,185.4639,24.03088,30.70158,185.4868,52.71358,0.0,9.0,2017.0,175.0056,29.0093615,185.47535,32.848875
2017-09-11 14:05:00,11.0,26.8773860616,163.933006746,14.0,18.2769341483,164.053405515,18.0625325521,24.7598489789,163.812607976,46.410228567,5.0,9.0,2017.0,155.42278,156.15316,11.0,14.0,13.632012,163.04158,16.955246,23.126956,160.46436,58.800768,7.0,9.0,2017.0,11.0,14.0,23.87691,171.7162,22.747,28.93609,171.7901,49.87939,5.0,9.0,2017.0,161.75297,28.1287455,171.75315,31.3598475
2017-09-11 14:10:00,11.0,25.6038198199,155.583640486,14.0,17.3740089959,155.701655989,17.2177091718,23.6058481939,155.465624982,44.217712918,10.0,9.0,2017.0,148.7904,149.4807,11.0,14.0,13.022978,156.68276,16.95701,22.383254,154.24098,56.772072,12.0,9.0,2017.0,11.0,14.0,20.47439,162.9934,23.32343,28.16429,163.1588,46.83707,10.0,9.0,2017.0,155.46187,27.2838285,163.0761,29.699795
2017-09-11 14:15:00,11.0,25.3443780848,154.051791516,14.0,17.2012809306,154.170071337,17.0421038146,23.3648630087,153.933511695,43.7692645852,15.0,9.0,2017.0,147.01616,147.94656,11.0,14.0,12.888804,154.93692,16.95895,23.064172,152.08782,57.389072,17.0,9.0,2017.0,11.0,14.0,21.12524,161.5913,24.31373,26.14948,161.7212,47.30529,15.0,9.0,2017.0,153.51237,27.5752495,161.65625,29.723435
2017-09-11 14:20:00,11.0,24.5022218698,148.520556205,14.0,16.6036447457,148.637391835,16.4836214931,22.6020646638,148.403720575,42.3195565767,20.0,9.0,2017.0,141.99486,142.6357,11.0,14.0,12.550312,149.31484,16.417168,22.45489,146.53338,55.764104,22.0,9.0,2017.0,11.0,14.0,18.80742,155.7868,20.80075,27.06461,155.7371,47.26474,20.0,9.0,2017.0,147.92411,26.7966185,155.76195,28.48438
2017-09-11 14:25:00,11.0,23.0219371371,138.944779719,14.0,15.5620652555,139.057967907,15.4993151218,21.2566380199,138.831591531,39.7697301512,25.0,9.0,2017.0,131.7857,132.52372,11.0,14.0,11.872228,139.21034,15.874864,21.234326,136.56456,52.034278,27.0,9.0,2017.0,11.0,14.0,17.83411,145.5571,23.2278,26.24857,145.9311,43.4959,25.0,9.0,2017.0,137.88745,25.253924,145.7441,27.701595
2017-09-11 14:30:00,11.0,21.149207386,126.985158694,14.0,14.2540099745,127.092885356,14.2511565147,19.5494818376,126.877432032,36.5421812173,30.0,9.0,2017.0,120.44484,121.21468,11.0,14.0,11.126096,128.35716,14.789566,19.538508,125.84702,46.9467,32.0,9.0,2017.0,11.0,14.0,17.79633,133.1615,18.36858,23.58665,133.4025,41.38695,30.0,9.0,2017.0,127.10209,23.1002175,133.282,25.2846275
2017-09-11 14:35:00,11.0,20.1741580525,120.820287968,14.0,13.5770372392,120.925350033,13.6000281432,18.6584974922,120.715225903,34.8610693354,35.0,9.0,2017.0,115.75056,116.42092,11.0,14.0,10.787204,123.81544,14.043724,18.04652,121.57656,44.709242,37.0,9.0,2017.0,11.0,14.0,17.66068,126.4989,18.22962,24.02094,126.7053,42.43805,35.0,9.0,2017.0,122.696,21.8966725,126.6021,25.5873225
2017-09-11 14:40:00,11.0,19.9464017712,119.387942904,14.0,13.4196428274,119.493043267,13.4476547348,18.4499702242,119.282842541,34.4683392983,40.0,9.0,2017.0,114.78244,115.91114,11.0,14.0,10.244704,123.61494,13.433454,17.30066,121.30818,43.760496,42.0,9.0,2017.0,11.0,14.0,17.9477,125.2817,16.98456,21.73472,125.5406,36.61767,40.0,9.0,2017.0,122.46156,21.1848285,125.41115,23.3211625
2017-09-11 14:45:00,11.0,19.3970431021,115.876591513,14.0,13.0358262586,115.980464125,13.0815128953,17.9492238629,115.772718901,33.5216093915,45.0,9.0,2017.0,111.3807,112.48466,11.0,14.0,9.9061028,119.75526,12.755804,16.35185,117.3805,42.20271,47.0,9.0,2017.0,11.0,14.0,14.85919,121.6413,16.06071,20.25752,121.8528,35.71331,45.0,9.0,2017.0,118.56788,20.3041167,121.74705,21.7226825
2017-09-11 14:50:00,11.0,17.5343104549,104.173213291,14.0,11.7465692466,104.270326224,11.8364968323,16.2450303312,104.076100358,30.3091454093,50.0,9.0,2017.0,98.736224,99.79725,11.0,14.0,8.888985,106.3964,11.806746,14.792358,104.225042,37.388016,52.0,9.0,2017.0,11.0,14.0,12.75473,109.3531,14.50014,18.67942,109.4665,31.95999,50.0,9.0,2017.0,105.310721,18.21902625,109.4098,19.47357
2017-09-11 14:55:00,11.0,15.7758413477,93.4361060381,14.0,10.5496165235,93.5262063296,10.6550345148,14.6256892741,93.3460057467,27.2730250785,55.0,9.0,2017.0,88.524366,89.511136,11.0,14.0,7.8718094,95.75109,10.789816,13.029202,93.851004,33.251614,57.0,9.0,2017.0,11.0,14.0,14.53723,98.15339,15.47844,19.9136,98.29273,33.00462,55.0,9.0,2017.0,94.801047,16.23561035,98.22306,20.7334725
2017-09-11 15:00:00,11.0,14.9631464528,88.7024541899,15.0,10.0114745878,88.7894353632,10.1043794228,13.869404588,88.6154730167,25.8673272127,0.0,9.0,2017.0,84.149136,85.0551,11.0,15.0,7.3971014,91.615484,10.179498,12.215398,89.783174,31.488582,2.0,9.0,2017.0,11.0,15.0,12.50078,93.17999,12.13429,15.56729,93.3269,27.04697,0.0,9.0,2017.0,90.699329,15.32014485,93.253445,16.8123325
2017-09-11 15:05:00,11.0,14.8542715974,87.9777745497,15.0,9.93355583292,88.0649960244,10.0323447202,13.771119023,87.890553075,25.6800668136,5.0,9.0,2017.0,83.66411,84.885024,11.0,15.0,6.7864656,91.549422,9.840374,11.80845,89.649212,31.62493,7.0,9.0,2017.0,11.0,15.0,10.73515,92.36489,11.87747,15.59664,92.49075,26.73662,5.0,9.0,2017.0,90.599317,15.0150549,92.42782,16.23647
2017-09-11 15:10:00,11.0,14.2058417795,83.879478925,15.0,9.4829197087,83.9644801542,9.59949957628,13.178836413,83.7944776959,24.5621114201,10.0,9.0,2017.0,79.774078,81.113696,11.0,15.0,6.6507914,87.885456,9.3654,11.129894,85.781636,29.724968,12.0,9.0,2017.0,11.0,15.0,11.16332,88.08721,12.11072,15.52391,88.23084,27.15848,10.0,9.0,2017.0,86.833546,14.21776335,88.159025,16.4891075
2017-09-11 15:15:00,11.0,13.5490348731,79.9131439479,15.0,9.03859210898,79.9961884849,9.15731300289,12.5725337431,79.8300994109,23.4277006373,15.0,9.0,2017.0,76.536728,77.861018,11.0,15.0,6.107891,84.153166,8.8225092,10.31555,82.1172,28.164162,17.0,9.0,2017.0,11.0,15.0,10.41169,83.9799,11.1645,14.2664,84.14061,24.58095,15.0,9.0,2017.0,83.135183,13.35252805,84.060255,15.105885
2017-09-11 15:20:00,11.0,12.9311785523,76.2660561369,15.0,8.6262019233,76.3471239488,8.73964442698,11.9992620338,76.184988325,22.359605825,20.0,9.0,2017.0,72.976266,74.609606,11.0,15.0,5.8364376,80.013488,8.6189252,9.6369092,78.11325,26.874758,22.0,9.0,2017.0,11.0,15.0,9.645284,80.06463,10.47735,13.50451,80.16887,23.32335,20.0,9.0,2017.0,79.063369,12.7417575,80.11675,14.2376235
2017-09-11 15:25:00,11.0,12.1518437938,71.6048902722,15.0,8.10190327233,71.6831566226,8.21411040735,11.2783387788,71.5266239217,21.0130227167,25.0,9.0,2017.0,68.115556,69.468578,11.0,15.0,5.4293324,74.789048,8.143999,9.0262654,73.02452,25.246394,27.0,9.0,2017.0,11.0,15.0,10.61866,75.10255,10.2244,12.91626,75.24918,22.24318,25.0,9.0,2017.0,73.906784,11.9614977,75.175865,14.000625
2017-09-11 15:30:00,11.0,11.3725122119,66.9645865602,15.0,7.57896976933,67.039828119,7.68817816035,10.5567112344,66.8893450014,19.6661896834,30.0,9.0,2017.0,63.413264,65.181342,11.0,15.0,5.0904138,69.976322,7.737436,8.4161596,68.279512,23.280196,32.0,9.0,2017.0,11.0,15.0,10.40434,70.47133,10.58428,12.82771,70.60946,21.23521,30.0,9.0,2017.0,69.127917,11.13105135,70.540395,13.762885
2017-09-11 15:35:00,11.0,10.7097291665,63.0112039895,15.0,7.13372310087,63.0837656465,7.24106647706,9.94327742171,62.9386423326,18.5208496662,35.0,9.0,2017.0,59.683534,61.0651,11.0,15.0,4.7516512,65.844282,7.4668802,7.8062754,63.87574,21.789702,37.0,9.0,2017.0,11.0,15.0,8.01176,66.18419,10.72695,12.93436,66.26193,21.3062,35.0,9.0,2017.0,64.860011,10.4536272,66.22306,13.2448175
2017-09-11 15:40:00,11.0,10.1809234988,59.8796972081,15.0,6.77999234356,59.95007036,6.8838261176,9.4530035492,59.8093240562,17.6068719849,40.0,9.0,2017.0,56.764512,57.806292,11.0,15.0,4.6161852,62.590054,6.9242774,7.3994752,60.89293,20.569182,42.0,9.0,2017.0,11.0,15.0,7.837203,62.95333,8.787827,11.40561,63.07748,19.62603,40.0,9.0,2017.0,61.741492,9.87727995,63.015405,11.9141675
2017-09-11 15:45:00,11.0,9.84896141025,57.9146380264,15.0,6.55798914447,57.983718105,6.65961449422,9.14527363874,57.8455579479,17.0329683636,45.0,9.0,2017.0,54.818466,56.091146,11.0,15.0,4.0732286,60.691102,6.7887144,6.7887144,59.333364,19.687272,47.0,9.0,2017.0,11.0,15.0,7.344427,60.79804,10.94597,11.83001,60.82821,18.69374,45.0,9.0,2017.0,60.012233,9.33448235,60.813125,12.20353675
