Latitude(deg),Longitude(deg),Time Zone,Tilt(deg),PV Azimuth(deg),GroundClearance(panel slope lengths),Row-to-Row-Distance rtr,RowType(first interior last single),TransmissionFactor(open area fraction),CellRows(# hor rows in panel),PVfrontSurface(glass or ARglass),PVbackSurface(glass or ARglass),Albedo,Tracking,Backtracking
35.04,-106.62,-7.0,0,180,0.75,3.3333333333333335,interior,0.013,6,glass,glass,0.25,True,True
Year,Month,Day,Hour,Minute,DNI,DHI,decHRs,ghi,inc,zen,azm,pvFrontSH,aveFrontGroundGHI,GTIfrontBroadBand,pvBackSH,aveBackGroundGHI,GTIbackBroadBand,maxShadow,Tamb,Vwind,No_1_RowFrontGTI,No_2_RowFrontGTI,No_3_RowFrontGTI,No_4_RowFrontGTI,No_5_RowFrontGTI,No_6_RowFrontGTI,No_1_RowBackGTI,No_2_RowBackGTI,No_3_RowBackGTI,No_4_RowBackGTI,No_5_RowBackGTI,No_6_RowBackGTI,beta,sazm,height,D
1981,1,1,8,0,243,12,7.5,28.161157563736293,77.19172028395256,86.18662510963638,121.46119156544235,0.0,5.7666353024609354,72.906672833420942,1.0,5.7666353024609354,7.7853338613584979,3.3333333333333335,-1.7,1.5,54.138563829903205,54.267770956963425,54.38298024831677,54.486614011147942,54.436697510414561,54.576786095370664,1.3151213933709598,1.3193286270975266,1.3091945173345705,1.3408960223618687,1.4255864560716005,1.4902729152379819,10.583008601707533,90.0,0.6581700763473077,2.350343475558716
1981,1,1,9,0,746,33,8.5,188.93154663307689,47.059423594715845,77.93486577533312,129.5170668562467,0.0,22.13288591802991,575.08469907429912,1.0,22.13288591802991,51.667357272107779,3.333333333333334,2.2000000000000002,1.5,550.49086918817318,550.92501567025386,551.33873995508623,551.61467352390491,556.16675770091638,559.08141560187619,5.4069728131223336,5.6106657792998718,5.9974379127946698,7.4458985940670308,10.182737602684009,12.980225709888984,44.999999999999993,90.0,0.39644660940672627,2.626226552146786
1981,1,1,10,0,906,43,9.5,363.4255700883312,48.01903138806218,69.28800905364909,140.71358950701523,0.0,167.00370367259342,681.72520596211552,1.0,167.00370367259342,91.937384425584085,2.5551703179198335,5.0,2.1000000000000001,648.64723137235421,648.87712910283665,649.09816318122523,649.36299893964315,654.80955689918187,658.44013094943102,54.498532173045326,46.507944922436643,38.712370991027626,34.04513809157757,32.788392316062165,33.613043511084136,44.999999999999993,90.0,0.39644660940672627,2.626226552146786
1981,1,1,11,0,969,47,10.5,492.13920375280446,52.952293088371285,62.6528938116756,153.96903754376626,0.0,305.74956029989846,657.46997457725456,1.0,305.74956029989846,121.84911603244014,1.673411912311264,8.3000000000000007,1.5,621.21477636585234,621.27317689720996,620.70690106704626,622.63303250972888,625.49772883282492,628.66454954446885,62.29901930049477,50.208616778369219,43.089436881536962,42.671890389387329,44.063253746575299,47.963852656659441,40.316502728212321,90.0,0.42649528914691937,2.570851328153238
1981,1,1,12,0,996,60,11.5,576.62650538238017,57.10838063936589,58.75482176588168,169.15980301861967,0.0,400.49563536056519,609.68036304107636,1.0,400.49563536056519,147.0178386156183,1.233544444106184,10.6,2.1000000000000001,577.94572530342566,578.96304955753851,579.75413328623176,581.71944481478658,582.42112477850253,583.21999536431861,77.184697474829079,65.919770675837782,59.713856843535154,59.056258649358625,63.087708930836214,70.231547084201253,17.22287497629975,90.0,0.6019552923553335,2.3781731069034318
1981,1,1,13,0,914,47,12.5,529.17179899303881,57.76112658719347,58.16058963746622,185.34841605168873,0.0,372.24441232780066,537.60288802502043,1.0,372.24441232780066,133.95605788288069,1.1126407075845919,13.300000000000001,2.6000000000000001,513.21187645353587,513.54939179653525,513.40124490871585,513.79495527855352,513.60925076746958,514.04732539865677,69.036980990017369,59.67384187242375,54.486496903870488,54.537858667573246,58.872529237297265,66.640184816885537,8.5366416789327104,270.0,0.6757790628754472,2.344412198980643
1981,1,1,14,0,977,32,13.5,506.1270740379091,54.697129107232975,60.96861007489071,201.03127474361264,0.0,327.63114086422024,613.8083163272986,1.0,327.63114086422024,124.14044318302943,1.5002382180285876,15.6,3.1000000000000001,582.51526008800636,582.46330750348523,582.02147492668394,584.05974647498647,586.11859573107051,586.84999316278152,62.725782435582524,51.491182477643015,45.365875677604208,43.9468550912895,47.101147827962798,50.651153765188319,32.886565027845293,270.0,0.4785112214117486,2.493586125893715
1981,1,1,15,0,933,29,14.5,397.40054775148229,49.31702248362823,66.74301324643291,215.00477018431633,0.0,208.99382322875013,663.7032328014443,1.0,208.99382322875013,95.16329655224493,2.1800694356894725,16.100000000000001,5.2000000000000002,634.22863336983266,633.8438612571108,633.49202567825853,633.35577771808926,636.99791986570926,639.62853445325777,54.678165022230417,44.83137193283109,36.379542192644827,32.074739016473956,30.812579880835965,32.179320791031117,44.999999999999993,270.0,0.39644660940672627,2.626226552146786
1981,1,1,16,0,827,25,15.5,242.12231576473698,46.864150909743024,74.77904507866589,226.8869950511197,0.0,64.000773080151973,616.8938899242554,1.0,64.000773080151973,60.99581260107724,3.333333333333334,15.6,5.7000000000000002,592.54386285191231,592.86400701442597,593.12245812055983,593.3751288328591,597.20669373010048,599.53262610744389,21.008642737871693,24.238282196652936,24.827586863336798,24.471593938572255,24.384109294088006,24.26989624510998,44.999999999999993,270.0,0.39644660940672627,2.626226552146786
1981,1,1,17,0,513,17,16.5,67.480868470902507,70.85191478654555,84.35276994203626,236.9169624165738,0.0,9.4085128860922307,197.85425926367205,1.0,9.4085128860922307,18.521127030482248,3.333333333333333,11.699999999999999,5.2000000000000002,167.47763766416571,167.81876375612728,168.46985867164238,168.77325014872983,169.05245333463324,169.31392157400575,2.3634541471717307,2.3171557265328646,2.4943229541538576,2.5280749025002756,2.7855612771629223,3.0769574303308804,16.265827888746273,270.0,0.6099528920280732,2.373360818000317
1981,1,1,18,0,0,0,17.5,0.0,87.79040546515252,89.33727113906723,241.46527175362715,6.661338147750934e-16,0.0,0.0,1.0,0.0,0.0,3.3333333333333335,7.7999999999999998,4.0999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7608923948490656,270.0,0.7346357339289056,2.3338055661790706
1981,1,2,8,0,243,12,7.5,28.118900685444995,77.2257772811642,86.19661070252468,121.33511036337988,1.4654943925052044e-15,5.7691713684566803,72.727353594036884,1.0,5.7691713684566803,7.771370361944947,3.333333333333334,-2.2000000000000002,1.5,53.941829221258949,54.082744876670702,54.19788611004526,54.301463976546273,54.25159365049776,54.3915838772756,1.3155751712628052,1.3197217342592025,1.3095775821828453,1.3412623041234355,1.4259744716433491,1.489446004583235,10.539941413463779,90.0,0.6585395414138789,2.3502057027273855
1981,1,2,9,0,746,33,8.5,188.81521070404705,46.98110033427818,77.94400251199986,129.37463484313818,0.0,22.130589096870722,575.8910881028977,1.0,22.130589096870722,51.641192559981626,3.333333333333334,1.1000000000000001,2.1000000000000001,551.35517892928317,551.78937309531,552.20314866014633,552.47911183021949,557.03037268636831,559.9445068640822,5.4068760184293367,5.6104966005508885,5.9971974440044598,7.4453461942717896,10.181646705436293,12.978605341510217,44.999999999999993,90.0,0.39644660940672627,2.626226552146786
