,Day_M,GTIBackavg_M,GTIFrontavg_M,Hour_M,IMT1_M,IMT2_M,IMT3_M,IMT4_M,IMT5_M,IMT6_M,Minute_M,Month_M,Year_M,CM11_1,CM11_2,Day,Hour,IMT1,IMT2,IMT3,IMT4,IMT5,IMT6,Minute,Month,Year,Day_R,Hour_R,IMT1_Rad,IMT2_Rad,IMT3_Rad,IMT4_Rad,IMT5_Rad,IMT6_Rad,Minute_R,Month_R,Year_R,GTIFrontavg,GTIBackavg,GTIFrontavg_Rad,GTIBackavg_Rad
2017-10-30 08:50:00,30.0,13.4947836769,50.9692805108,8.0,12.820610395,51.034627035,12.4424599257,13.194443136,50.9039339866,15.5216212509,50.0,10.0,2017.0,52.732208,55.255096,30.0,8.0,12.1274084,60.092,13.217514,10.901042,59.410684,15.125196,52.0,10.0,2017.0,30.0,8.0,13.91105,53.69662,13.84138,14.33677,53.74323,16.56549,50.0,10.0,2017.0,59.751342,12.8427901,53.719925,14.6636725
2017-10-30 08:55:00,30.0,10.8362983733,40.9346198989,8.0,10.297457445,40.9896239903,9.99202566852,10.5945912903,40.8796158076,12.4611190893,55.0,10.0,2017.0,51.266878,54.049582,30.0,8.0,12.3318044,59.75134,12.944988,10.219728,58.865632,13.898828,57.0,10.0,2017.0,30.0,8.0,11.33833,42.97291,11.23151,11.68491,42.98659,13.60939,55.0,10.0,2017.0,59.308486,12.3488371,42.97975,11.966035
2017-10-30 09:00:00,30.0,16.6275326689,62.8081124105,9.0,15.803383787,62.8835454873,15.3336077647,16.2560065243,62.7326793336,19.1171325997,0.0,10.0,2017.0,69.49475,73.500176,30.0,9.0,16.760356,79.305088,17.714194,15.670248,78.214986,20.984508,2.0,10.0,2017.0,30.0,9.0,17.42974,66.13055,16.97358,17.56006,66.28268,20.5007,0.0,10.0,2017.0,78.760037,17.7823265,66.206615,18.11602
2017-10-30 09:05:00,30.0,13.9549917904,52.720279443,9.0,13.2674601547,52.7867271386,12.8705963036,13.6424498017,52.6538317475,16.0394609018,5.0,10.0,2017.0,49.313466,52.327844,30.0,9.0,12.12741,56.072238,14.239486,11.71862,54.914004,15.533984,7.0,10.0,2017.0,30.0,9.0,14.74228,55.41545,14.33987,14.82893,55.50637,17.33583,5.0,10.0,2017.0,55.493121,13.404875,55.46091,15.3117275
2017-10-30 09:10:00,30.0,12.4943130705,47.2074836685,9.0,11.8807986423,47.2683500303,11.5235128092,12.2137891727,47.1466173068,14.359151658,10.0,10.0,2017.0,42.477882,44.754022,30.0,9.0,9.9472018,48.714036,11.7867516,8.9933602,47.555798,12.5361996,12.0,10.0,2017.0,30.0,9.0,12.86308,49.50981,12.95811,13.46787,49.58969,15.3889,10.0,10.0,2017.0,48.134917,10.8158783,49.54975,13.66949
2017-10-30 09:15:00,30.0,9.69407397901,36.6692720432,9.0,9.24703126929,36.7183762072,8.95185426477,9.47053710148,36.6201678792,11.1068732805,15.0,10.0,2017.0,36.944338,39.073674,30.0,9.0,8.2439136,42.582198,10.0153338,7.4944672,41.560224,10.5603866,17.0,10.0,2017.0,30.0,9.0,10.09324,38.49353,10.84205,11.35331,38.51283,13.05677,15.0,10.0,2017.0,42.071211,9.0785253,38.50318,11.3363425
2017-10-30 09:20:00,30.0,10.1305256232,38.3208319129,9.0,9.66747738921,38.3715216113,9.35607327544,9.89593484191,38.2701422144,11.6026169862,20.0,10.0,2017.0,52.73062,55.081304,30.0,9.0,12.536198,61.318366,12.808724,10.2197268,60.432656,14.035092,22.0,10.0,2017.0,30.0,9.0,11.0615,40.19833,11.49957,12.0164,40.27746,14.12301,20.0,10.0,2017.0,60.875511,12.3999352,40.237895,12.17512
2017-10-30 09:25:00,30.0,11.6669930557,44.0961188662,9.0,11.1021668092,44.1530263949,10.7626688697,11.4029866559,44.0392113375,13.4001498882,25.0,10.0,2017.0,52.240756,54.90748,30.0,9.0,12.94499,60.432658,13.353776,10.4922524,59.546946,14.171354,27.0,10.0,2017.0,30.0,9.0,12.3693,46.26152,11.99605,12.4222,46.2461,14.3908,25.0,10.0,2017.0,59.989802,12.7405931,46.25381,12.7945875
2017-10-30 09:30:00,30.0,14.8483306472,56.1106543497,9.0,14.1263901945,56.1790935633,13.6962698996,14.5128538646,56.0422151361,17.05780863,30.0,10.0,2017.0,62.004818,65.234302,30.0,9.0,14.784538,70.652384,15.806512,13.626302,69.698546,18.259246,32.0,10.0,2017.0,30.0,9.0,15.26004,59.01682,15.32986,15.85714,59.11493,18.33998,30.0,10.0,2017.0,70.175465,15.6191495,59.065875,16.196755
2017-10-30 09:35:00,30.0,17.2118527539,65.0350368427,9.0,16.371172314,65.1109842746,15.8752289697,16.8237444173,64.9590894108,19.7772653147,35.0,10.0,2017.0,64.609516,68.677626,30.0,9.0,14.988932,72.764462,16.760352,14.716408,71.606222,20.098796,37.0,10.0,2017.0,30.0,9.0,17.80624,68.44498,17.69894,18.29091,68.5697,21.43047,35.0,10.0,2017.0,72.185342,16.641122,68.50734,18.80664
