,Day_M,GTIBackavg_M,GTIFrontavg_M,Hour_M,IMT1_M,IMT2_M,IMT3_M,IMT4_M,IMT5_M,IMT6_M,Minute_M,Month_M,Year_M,CM11_1,CM11_2,Day,Hour,IMT1,IMT2,IMT3,IMT4,IMT5,IMT6,Minute,Month,Year,Day_R,Hour_R,IMT1_Rad,IMT2_Rad,IMT3_Rad,IMT4_Rad,IMT5_Rad,IMT6_Rad,Minute_R,Month_R,Year_R,GTIFrontavg,GTIBackavg,GTIFrontavg_Rad,GTIBackavg_Rad
2017-08-25 10:05:00,25.0,128.80241615,877.779006424,10.0,165.918452578,876.711635426,125.606871691,112.832536359,878.846377422,110.851803971,5.0,8.0,2017.0,38.064714,35.119226,25.0,10.0,208.27976,863.61884,159.81898,130.47138,847.28448,118.27146,7.0,8.0,2017.0,25.0,10.0,189.6142,888.3568,151.0959,138.3419,888.5568,131.362,5.0,8.0,2017.0,855.45166,154.210395,888.4568,152.6035
2017-08-25 10:10:00,25.0,130.433526741,889.850208566,10.0,168.05518734,888.789207432,127.197691412,114.249097565,890.9112097,112.232130646,10.0,8.0,2017.0,38.7126,35.119206,25.0,10.0,210.1032,873.75824,161.98278,132.56836,858.30546,119.62328,12.0,8.0,2017.0,25.0,10.0,188.9271,900.1145,153.9968,142.1747,901.522,130.8067,10.0,8.0,2017.0,866.03185,156.069405,900.81825,153.976325
2017-08-25 10:15:00,25.0,131.683657663,899.304647548,10.0,169.704682137,898.253211207,128.416817602,115.330437345,900.356083888,113.282693568,15.0,8.0,2017.0,38.874566,35.119196,25.0,10.0,211.59146,883.77722,163.60726,134.05762,868.66358,120.70606,17.0,8.0,2017.0,25.0,10.0,189.0725,907.8608,158.0141,144.565,909.6981,134.0003,15.0,8.0,2017.0,876.2204,157.4906,908.77945,156.412975
2017-08-25 10:20:00,25.0,133.306710328,911.073469608,10.0,171.805661197,910.02102925,130.00029298,116.74962208,912.125909966,114.671265055,20.0,8.0,2017.0,38.874548,35.461806,25.0,10.0,212.94574,891.43076,165.30066,135.68346,878.75706,121.7898,22.0,8.0,2017.0,25.0,10.0,199.0961,919.6494,157.3791,144.8529,920.2836,136.1637,20.0,8.0,2017.0,885.09391,158.929915,919.9665,159.37295
2017-08-25 10:25:00,25.0,135.116250437,924.280715612,10.0,174.176872333,923.235121176,131.765078402,118.320803425,925.326310047,116.202247588,25.0,8.0,2017.0,38.874556,35.804438,25.0,10.0,214.84286,901.45894,166.99456,137.2419,889.80186,122.94162,27.0,8.0,2017.0,25.0,10.0,201.83,932.6088,161.4919,147.3982,933.1148,130.8163,25.0,8.0,2017.0,895.6304,160.505235,932.8618,160.3841
2017-08-25 10:30:00,25.0,141.477528506,932.529810229,10.0,182.217753843,931.482710348,138.539138135,124.145266942,933.57691011,121.007955104,30.0,8.0,2017.0,38.062928,35.117582,25.0,10.0,216.33364,908.50646,168.48542,138.66502,897.25602,123.89034,32.0,8.0,2017.0,25.0,10.0,198.496,939.6519,159.0588,145.6523,941.5634,134.344,30.0,8.0,2017.0,902.88124,161.843605,940.60765,159.387775
2017-08-25 10:35:00,25.0,139.026236163,944.229422412,10.0,179.560513337,943.176278635,136.517181398,121.957210156,945.282566188,118.070039762,35.0,8.0,2017.0,38.223456,35.116254,25.0,10.0,218.63786,919.01094,170.51854,140.69812,908.77712,125.51684,37.0,8.0,2017.0,25.0,10.0,207.4237,951.9916,161.7929,147.8722,954.3184,132.6484,35.0,8.0,2017.0,913.89403,163.84284,953.155,162.4343
2017-08-25 10:40:00,25.0,140.338563047,953.383767958,10.0,181.221537807,952.32028799,137.806635667,123.122353344,954.447247925,119.203725369,40.0,8.0,2017.0,40.004164,36.485832,25.0,10.0,220.93832,927.46648,172.41322,142.45774,918.31716,126.87008,42.0,8.0,2017.0,25.0,10.0,200.9909,961.172,165.5872,152.5332,963.283,136.5695,40.0,8.0,2017.0,922.89182,165.66984,962.2275,163.9202
2017-08-25 10:45:00,25.0,141.744629267,963.090694737,10.0,182.995464642,962.015005752,139.188236913,124.372941188,964.166383721,120.421874325,45.0,8.0,2017.0,41.461332,37.684458,25.0,10.0,222.15634,934.50702,173.90274,144.01534,926.78096,128.02116,47.0,8.0,2017.0,25.0,10.0,204.3376,970.9238,164.1797,149.801,973.0668,138.8159,45.0,8.0,2017.0,930.64399,167.023895,971.9953,164.28355
2017-08-25 10:50:00,25.0,143.317670012,973.474732803,10.0,184.918790706,972.371024654,140.734145902,125.795400154,974.578440952,121.822343287,50.0,8.0,2017.0,43.728342,39.397026,25.0,10.0,224.32664,943.5951,175.66604,146.11728,937.83442,129.58084,52.0,8.0,2017.0,25.0,10.0,214.5848,981.7314,168.5458,154.6964,983.4907,140.61,50.0,8.0,2017.0,940.71476,168.9227,982.61105,169.60925
2017-08-25 10:55:00,25.0,145.250070824,985.793829329,10.0,187.231793324,984.647822856,142.633749489,127.562273746,986.939835802,123.572466739,55.0,8.0,2017.0,45.508146,41.450964,25.0,10.0,226.89114,955.54506,178.09736,148.61774,950.3268,131.53992,57.0,8.0,2017.0,25.0,10.0,210.5104,993.321,172.4062,158.042,995.3583,140.143,55.0,8.0,2017.0,952.93593,171.28654,994.33965,170.2754
2017-08-25 11:00:00,25.0,147.347900406,998.875094377,11.0,189.706163635,997.6839343,144.696957848,129.495619925,1000.06625445,125.492860215,0.0,8.0,2017.0,48.744076,44.18872,25.0,11.0,229.6566,966.67192,180.52672,151.18436,962.74154,133.90424,2.0,8.0,2017.0,25.0,11.0,209.5819,1006.35,177.6675,163.458,1009.003,144.9424,0.0,8.0,2017.0,964.70673,173.81798,1007.6765,173.91245
2017-08-25 11:05:00,25.0,149.235652547,1011.25706237,11.0,192.025849914,1010.04836745,146.553307701,131.200027132,1012.46575729,127.163425439,5.0,8.0,2017.0,50.846436,46.070138,25.0,11.0,231.88664,976.81064,182.69036,153.41654,972.2027,135.6625,7.0,8.0,2017.0,25.0,11.0,219.058,1018.967,176.7512,162.303,1020.919,147.4725,5.0,8.0,2017.0,974.50667,175.91401,1019.943,176.396175
2017-08-25 11:10:00,25.0,151.846529247,1027.25294651,11.0,195.080495994,1026.00612446,149.123341174,133.618843307,1028.49976855,129.563436514,10.0,8.0,2017.0,56.350788,50.52184,25.0,11.0,234.73006,991.43636,185.46658,156.26084,988.31928,138.3037,12.0,8.0,2017.0,25.0,11.0,224.978,1035.447,180.2656,165.3094,1038.332,150.7769,10.0,8.0,2017.0,989.87782,178.690295,1036.8895,180.332475
2017-08-25 11:15:00,25.0,155.5515674,1048.55463025,11.0,199.218515525,1047.27889463,152.777596704,137.135823479,1049.83036588,133.07433389,15.0,8.0,2017.0,65.417312,60.79614,25.0,11.0,239.2013,1018.6722,190.0058,160.9357,1016.843,142.70764,17.0,8.0,2017.0,25.0,11.0,229.0496,1057.001,186.6005,171.67,1057.746,152.3365,15.0,8.0,2017.0,1017.7576,183.21261,1057.3735,184.91415
2017-08-25 11:20:00,25.0,162.208317635,1094.49839876,11.0,207.895325983,1092.57952252,159.258949298,142.863989064,1096.41727499,138.815006196,20.0,8.0,2017.0,79.342158,81.003806,25.0,11.0,242.18236,1041.43844,194.61326,166.55968,1039.67654,148.53492,22.0,8.0,2017.0,25.0,11.0,238.3512,1098.75,190.987,175.6177,1104.008,166.0698,20.0,8.0,2017.0,1040.55749,187.972555,1101.379,192.756425
2017-08-25 11:25:00,25.0,168.036238611,1121.65363382,11.0,213.445320029,1119.75959378,165.037254566,148.800939197,1123.54767386,144.861440654,25.0,8.0,2017.0,96.018288,92.476082,25.0,11.0,204.09978,888.76912,166.424004,143.588136,887.00722,129.154766,27.0,8.0,2017.0,25.0,11.0,243.1373,1129.582,201.3688,187.5534,1130.806,172.8715,25.0,8.0,2017.0,887.88817,160.8166715,1130.194,201.23275
2017-08-25 11:30:00,25.0,129.468835459,861.128279062,11.0,163.989499348,858.739370079,127.086246301,114.71735386,863.517188045,112.082242326,30.0,8.0,2017.0,104.440202,85.285226,25.0,11.0,252.75294,1095.91774,203.151,173.94554,1095.30802,155.1754,32.0,8.0,2017.0,25.0,11.0,189.5227,862.0031,152.3243,142.4066,862.9717,135.2025,30.0,8.0,2017.0,1095.61288,196.25622,862.4874,154.864025
2017-08-25 11:35:00,25.0,136.025330211,913.595174497,11.0,173.626071715,911.6756158,133.541898673,120.055811202,915.514733193,116.877539253,35.0,8.0,2017.0,84.847518,75.181108,25.0,11.0,233.30518,1006.065,186.346,158.69904,1004.64212,141.01312,37.0,8.0,2017.0,25.0,11.0,196.6066,917.004,165.1684,152.8099,920.0139,139.9902,35.0,8.0,2017.0,1005.35356,179.840835,918.50895,163.643775
2017-08-25 11:40:00,25.0,158.057933093,1066.50510886,11.0,202.459644944,1065.26657369,155.243679957,139.340267279,1067.74364403,135.188140192,40.0,8.0,2017.0,73.350604,63.192896,25.0,11.0,241.43668,1034.1188,191.49594,162.62922,1031.4082,143.79134,42.0,8.0,2017.0,25.0,11.0,228.2531,1073.28,187.7316,173.2531,1077.233,157.8021,40.0,8.0,2017.0,1032.7635,184.838295,1075.2565,186.759975
2017-08-25 11:45:00,25.0,157.629932976,1064.46002859,11.0,202.026939717,1063.22499643,154.820429529,138.915325124,1065.69506075,134.757037533,45.0,8.0,2017.0,77.721952,65.076238,25.0,11.0,242.18206,1028.0202,191.49592,162.22266,1027.0716,143.7236,47.0,8.0,2017.0,25.0,11.0,231.5941,1070.446,192.5996,177.932,1073.36,154.2342,45.0,8.0,2017.0,1027.5459,184.90606,1071.903,189.089975
2017-08-25 11:50:00,25.0,152.155400286,1056.31833661,11.0,195.165415971,1055.08847063,149.854648324,134.206870826,1057.54820259,129.394666024,50.0,8.0,2017.0,66.711128,57.36965,25.0,11.0,229.23948,975.0979,183.16116,155.31094,976.04666,137.01514,52.0,8.0,2017.0,25.0,11.0,226.9143,1062.534,185.809,171.8975,1065.648,156.2962,50.0,8.0,2017.0,975.57228,176.18168,1064.091,185.22925
2017-08-25 11:55:00,25.0,160.147663972,1113.74369789,11.0,205.689413778,1111.82929921,157.667422127,141.063436946,1115.65809658,136.170383037,55.0,8.0,2017.0,96.991306,95.04634,25.0,11.0,250.58458,1066.1026,202.87998,174.55538,1068.203,156.25958,57.0,8.0,2017.0,25.0,11.0,240.5197,1116.998,198.4561,182.2309,1117.47,168.8304,55.0,8.0,2017.0,1067.1528,196.06988,1117.234,197.509275
2017-08-25 12:00:00,25.0,163.318562314,1131.24954888,12.0,209.117693551,1129.32325481,160.801428442,144.12291554,1133.17584296,139.232211723,0.0,8.0,2017.0,102.982556,100.012848,25.0,12.0,253.83716,1074.6404,205.92926,177.46914,1078.9094,159.51222,2.0,8.0,2017.0,25.0,12.0,245.8277,1134.708,202.7683,189.235,1139.307,164.3606,0.0,8.0,2017.0,1076.7749,199.186945,1137.0075,200.5479
2017-08-25 12:05:00,25.0,159.045688673,1108.08026063,12.0,204.550150427,1106.18310977,156.578615345,139.980619182,1109.97741149,135.073369737,5.0,8.0,2017.0,73.349778,65.932222,25.0,12.0,251.12666,1055.8026,202.6767,173.20016,1060.5458,153.5491,7.0,8.0,2017.0,25.0,12.0,239.9809,1110.238,194.7386,179.0974,1112.948,164.3813,5.0,8.0,2017.0,1058.1742,195.138155,1111.593,194.54955
2017-08-25 12:10:00,25.0,159.659178346,1111.61037495,12.0,205.23660485,1109.70560774,157.184143493,140.562394678,1113.51514216,135.653570362,10.0,8.0,2017.0,73.996294,66.273684,25.0,12.0,252.95622,1063.392,204.23524,174.55536,1068.813,155.03988,12.0,8.0,2017.0,25.0,12.0,243.785,1114.07,196.9319,181.3784,1114.77,166.0236,10.0,8.0,2017.0,1066.1025,196.696675,1114.42,197.029725
2017-08-25 12:15:00,25.0,161.768300099,1122.46232269,12.0,207.413848455,1120.5357382,159.269094409,142.637649306,1124.38890718,137.752608225,15.0,8.0,2017.0,79.824482,70.382936,25.0,12.0,252.61742,1062.9178,204.37078,175.30076,1070.1004,155.44644,17.0,8.0,2017.0,25.0,12.0,242.5512,1125.464,199.1927,184.0754,1126.761,170.1728,15.0,8.0,2017.0,1066.5091,196.93385,1126.1125,198.998025
2017-08-25 12:20:00,25.0,92.2669946167,588.913461091,12.0,113.026713918,586.543933113,90.6049718345,83.2501597362,591.28298907,82.1861329783,20.0,8.0,2017.0,128.076356,108.400794,25.0,12.0,112.3497,475.41952,98.322926,88.429642,477.58794,84.296162,22.0,8.0,2017.0,25.0,12.0,127.0075,591.282,110.8267,105.3104,593.9155,99.66258,20.0,8.0,2017.0,476.50373,95.8496075,592.59875,110.701795
2017-08-25 12:25:00,25.0,69.1141901331,375.248481567,12.0,74.4494748311,374.494371395,68.2160280868,66.7083480475,376.002591739,67.082909567,25.0,8.0,2017.0,168.87762,150.01282,25.0,12.0,163.103582,690.09,141.28414,127.934992,691.17428,120.752204,27.0,8.0,2017.0,25.0,12.0,86.45144,394.0263,82.30625,81.81665,397.1898,79.94019,25.0,8.0,2017.0,690.63214,138.2687295,395.60805,82.6286325
2017-08-25 12:30:00,25.0,156.981340491,1025.13087317,12.0,195.842500558,1022.99499823,154.235607736,140.43133883,1027.26674811,137.415914839,30.0,8.0,2017.0,162.88786,164.91242,25.0,12.0,275.11446,1159.6142,231.47564,205.45494,1163.4766,187.09138,32.0,8.0,2017.0,25.0,12.0,224.0135,1030.373,188.4769,178.1718,1030.702,164.7188,30.0,8.0,2017.0,1161.5454,224.784105,1030.5375,188.84525
2017-08-25 12:35:00,25.0,174.34451734,1134.55057787,12.0,216.907630988,1132.23714114,171.315252204,156.21770759,1136.86401459,152.937478577,35.0,8.0,2017.0,203.04902,187.00884,25.0,12.0,218.93962,916.75468,186.34602,167.508114,918.58424,156.73393,37.0,8.0,2017.0,25.0,12.0,242.1002,1139.727,208.0733,196.1193,1141.633,180.7421,35.0,8.0,2017.0,917.66946,182.381921,1140.68,206.758725
2017-08-25 12:40:00,25.0,114.309331871,701.178180156,12.0,135.640084071,699.151947687,112.441568516,105.068907845,703.204412624,104.086767053,40.0,8.0,2017.0,204.83376,187.35474,25.0,12.0,119.396954,507.40322,109.910274,103.540628,507.60652,102.591962,42.0,8.0,2017.0,25.0,12.0,152.506,709.5713,139.3252,135.4247,710.6825,126.0273,40.0,8.0,2017.0,507.50487,108.8599545,710.1269,138.3208
2017-08-25 12:45:00,25.0,132.109150058,826.213591175,12.0,159.220261848,824.21129177,129.919672974,120.460796804,828.21589058,118.835868605,45.0,8.0,2017.0,193.81908,180.15838,25.0,12.0,133.96584,572.72598,120.345634,111.197746,573.2003,108.690526,47.0,8.0,2017.0,25.0,12.0,181.2083,835.5313,158.4377,152.7686,837.4521,141.1372,45.0,8.0,2017.0,572.96314,118.5499365,836.4917,158.38795
