,Day_M,GTIBackavg_M,GTIFrontavg_M,Hour_M,IMT1_M,IMT2_M,IMT3_M,IMT4_M,IMT5_M,IMT6_M,Minute_M,Month_M,Year_M,CM11_1,CM11_2,Day,Hour,IMT1,IMT2,IMT3,IMT4,IMT5,IMT6,Minute,Month,Year,Day_R,Hour_R,IMT1_Rad,IMT2_Rad,IMT3_Rad,IMT4_Rad,IMT5_Rad,IMT6_Rad,Minute_R,Month_R,Year_R,GTIFrontavg,GTIBackavg,GTIFrontavg_Rad,GTIBackavg_Rad
2017-11-13 14:30:00,13.0,32.3416581498,442.629232757,14.0,21.343518596,441.608063015,35.7282952467,39.7690129293,443.650402499,32.5258058272,30.0,11.0,2017.0,21.888118,20.577484,13.0,14.0,13.16325,415.6603,23.205312,20.898356,443.9545,16.691544,32.0,11.0,2017.0,13.0,14.0,24.5718,460.6468,31.86151,35.21531,463.1648,30.37552,30.0,11.0,2017.0,429.8074,18.4896155,461.9058,30.506035
2017-11-13 14:35:00,13.0,31.0373318971,425.70925039,14.0,20.1455052615,424.697600888,33.7723636225,38.1487885383,426.720899893,32.0826701661,35.0,11.0,2017.0,21.726306,20.57779,13.0,14.0,11.875316,401.5893,21.104132,19.000502,429.00434,15.743272,37.0,11.0,2017.0,13.0,14.0,23.97737,443.4766,29.98912,31.86476,445.3334,29.20347,35.0,11.0,2017.0,415.29682,16.9308055,444.405,28.75868
2017-11-13 14:40:00,13.0,29.9473925678,411.410685715,14.0,19.1634612576,410.401592489,32.0746699217,36.7433714747,412.419778941,31.8080676173,40.0,11.0,2017.0,21.078076,20.5781,13.0,14.0,10.51873,385.6642,18.79799,16.829968,412.80934,14.5905,42.0,11.0,2017.0,13.0,14.0,22.50674,430.6802,26.97463,29.26644,431.2689,27.15913,40.0,11.0,2017.0,399.23677,15.184297,430.97455,26.476735
2017-11-13 14:45:00,13.0,26.5523986084,395.291788949,14.0,16.7985014872,394.293448369,27.6932846646,32.3588353507,396.290129528,29.3589729312,45.0,11.0,2017.0,21.078142,20.235194,13.0,14.0,9.5688794,370.87896,16.762506,14.93017,398.16048,13.572882,47.0,11.0,2017.0,13.0,14.0,20.16225,414.9384,25.40222,27.7714,417.0949,25.39409,45.0,11.0,2017.0,384.51972,13.70860935,416.01665,24.68249
2017-11-13 14:50:00,13.0,23.3136242267,377.523463172,14.0,14.6999198536,376.53804146,23.6904560921,28.114757073,378.508884884,26.7493638882,50.0,11.0,2017.0,21.078238,19.720826,13.0,14.0,8.4152702,353.98426,14.590994,12.487174,380.72314,12.079984,52.0,11.0,2017.0,13.0,14.0,20.37456,398.0145,22.73327,24.50349,400.159,23.24823,50.0,11.0,2017.0,367.3537,11.89335555,399.08675,22.7148875
2017-11-13 14:55:00,13.0,22.114964785,360.778376376,14.0,13.7830806668,359.79872309,21.8035590591,26.3474173778,361.758029661,26.525802036,55.0,11.0,2017.0,20.26781,19.37812,13.0,14.0,7.6009242,339.8699,12.758694,10.383405,365.93024,10.722732,57.0,11.0,2017.0,13.0,14.0,18.76438,382.3165,21.49441,23.19204,384.9466,23.00485,55.0,11.0,2017.0,352.90007,10.3664388,383.63155,21.61392
2017-11-13 15:00:00,13.0,19.2798057192,343.117479799,15.0,12.1573667547,342.154215539,18.5679436063,22.5919670358,344.080744059,23.8019454799,0.0,11.0,2017.0,19.943752,18.863872,13.0,15.0,6.8544186,323.17566,10.858484,8.1438638,349.03244,9.297578,2.0,11.0,2017.0,13.0,15.0,17.75117,366.961,17.35484,18.45382,368.6448,19.69876,0.0,11.0,2017.0,336.10405,8.7885861,367.8029,18.3146475
2017-11-13 15:05:00,13.0,17.7019737503,316.219568468,15.0,11.1841221018,315.279968534,16.6008099646,20.3939718128,317.159168403,22.6289911218,5.0,11.0,2017.0,19.133096,18.520954,13.0,15.0,5.5649784,295.4189,8.8225264,5.9721716,320.32558,7.3294836,7.0,11.0,2017.0,13.0,15.0,17.00219,339.8203,16.45861,16.52623,341.7491,17.15663,5.0,11.0,2017.0,307.87224,6.92229,340.7847,16.785915
2017-11-13 15:10:00,13.0,14.9743199956,291.468723262,15.0,9.7812755342,290.544879286,13.6526945233,16.7398050033,292.392567238,19.7235049216,10.0,11.0,2017.0,19.1339,18.178736,13.0,15.0,4.750593,275.94158,7.6009482,4.071937,300.44106,5.5649802,12.0,11.0,2017.0,13.0,15.0,16.33728,315.0283,14.43962,14.37047,317.5999,14.15189,10.0,11.0,2017.0,288.19132,5.4971146,316.3141,14.824815
2017-11-13 15:15:00,13.0,13.1964754799,285.012532682,15.0,8.94391796658,284.102823562,11.7733965044,14.3478297392,285.922241803,17.7207577093,15.0,11.0,2017.0,19.297684,18.351782,13.0,15.0,4.6827272,272.3447,6.786561,3.393281,297.04778,4.750593,17.0,11.0,2017.0,13.0,15.0,16.24505,311.8584,13.42945,12.79452,313.7434,12.39667,15.0,11.0,2017.0,284.69624,4.90329055,312.8009,13.7164225
