,Day_M,GTIBackavg_M,GTIFrontavg_M,Hour_M,IMT1_M,IMT2_M,IMT3_M,IMT4_M,IMT5_M,IMT6_M,Minute_M,Month_M,Year_M,CM11_1,CM11_2,Day,Hour,IMT1,IMT2,IMT3,IMT4,IMT5,IMT6,Minute,Month,Year,Day_R,Hour_R,IMT1_Rad,IMT2_Rad,IMT3_Rad,IMT4_Rad,IMT5_Rad,IMT6_Rad,Minute_R,Month_R,Year_R,GTIFrontavg,GTIBackavg,GTIFrontavg_Rad,GTIBackavg_Rad
2017-10-18 15:05:00,18.0,110.828900048,441.509947718,15.0,168.203481075,441.149345774,117.771926294,92.0368439204,441.870549663,65.3033489008,5.0,10.0,2017.0,378.65364,343.04632,18.0,15.0,153.31438,389.93414,107.93062,76.928554,411.71022,47.758112,7.0,10.0,2017.0,18.0,15.0,176.17,457.5018,129.112,105.8354,457.4487,78.26489,5.0,10.0,2017.0,400.82218,96.4829165,457.47525,122.3455725
2017-10-18 15:10:00,18.0,106.716625189,423.397244773,15.0,161.700857156,423.038831435,113.338999576,88.6857952897,423.755658111,63.1408487343,10.0,10.0,2017.0,364.06636,328.6467,18.0,15.0,146.60364,372.30942,104.40676,73.946298,393.9506,45.724594,12.0,10.0,2017.0,18.0,15.0,168.8124,440.5391,126.4395,103.922,440.7158,76.36527,10.0,10.0,2017.0,383.13001,92.670323,440.62745,118.8847925
2017-10-18 15:15:00,18.0,101.564688654,403.206020566,15.0,154.170219265,402.849251893,107.975461899,84.3969227604,403.56278924,59.7161506905,15.0,10.0,2017.0,348.50958,313.73554,18.0,15.0,139.07564,353.65918,100.270156,70.826814,375.09716,43.350896,17.0,10.0,2017.0,18.0,15.0,161.581,423.2871,122.554,100.425,423.582,72.09476,15.0,10.0,2017.0,364.37817,88.3808765,423.43455,114.16369
2017-10-18 15:20:00,18.0,101.477114628,384.910001126,15.0,151.682482576,384.572935182,109.176626195,85.8293304887,385.24706707,59.2200192522,20.0,10.0,2017.0,333.4354,298.64964,18.0,15.0,132.4281,336.42974,96.336006,67.97794,357.5287,41.248092,22.0,10.0,2017.0,18.0,15.0,154.2773,403.8554,118.5744,97.5724,404.0043,70.13644,20.0,10.0,2017.0,346.97922,84.4975345,403.92985,110.140135
2017-10-18 15:25:00,18.0,96.3626857654,365.2623817,15.0,144.227383945,364.929192428,103.756575527,81.5081884947,365.595570972,55.9585950954,25.0,10.0,2017.0,317.22888,282.36564,18.0,15.0,125.37284,317.50268,91.315946,64.45033,338.60168,39.21294,27.0,10.0,2017.0,18.0,15.0,149.0883,385.5951,114.5062,94.20146,385.6545,67.6911,25.0,10.0,2017.0,328.05218,80.088014,385.6248,106.371765
2017-10-18 15:30:00,18.0,95.4079463874,344.851923447,15.0,139.530396821,344.524796686,103.47019828,82.3641258765,345.179050208,56.2670645718,30.0,10.0,2017.0,300.8596,265.7382,18.0,15.0,117.84248,298.77854,86.36355,61.533182,319.33482,37.584764,32.0,10.0,2017.0,18.0,15.0,141.6468,367.5017,109.7279,92.26122,367.7486,64.73679,30.0,10.0,2017.0,309.05668,75.830994,367.62515,102.0931775
2017-10-18 15:35:00,18.0,89.5451376067,322.962154746,15.0,131.065937361,322.64146647,97.1666501605,77.3137939117,323.282843023,52.634168994,35.0,10.0,2017.0,283.1998,82.809332,18.0,15.0,109.90498,278.96868,81.004036,57.801876,299.11794,35.685196,37.0,10.0,2017.0,18.0,15.0,133.437,345.6003,105.365,87.50433,345.8115,63.33549,35.0,10.0,2017.0,289.04331,71.099022,345.7059,97.410455
2017-10-18 15:40:00,18.0,84.5161658653,303.903738784,15.0,123.787227567,303.589716178,91.7494872937,72.9835471184,304.217761389,49.5444014817,40.0,10.0,2017.0,268.30054,132.195774,18.0,15.0,103.12074,261.46536,76.255076,54.952502,281.20754,33.785612,42.0,10.0,2017.0,18.0,15.0,126.6395,328.696,102.2781,85.69944,328.7151,61.36736,40.0,10.0,2017.0,271.33645,67.0284825,328.70555,93.9961
2017-10-18 15:45:00,18.0,82.6478346374,283.501009862,15.0,118.253356363,283.195488491,90.1770497468,72.7650278796,283.806531234,49.39590456,45.0,10.0,2017.0,251.28882,218.61906,18.0,15.0,95.454534,242.46944,71.166884,51.560374,262.07596,32.293078,47.0,10.0,2017.0,18.0,15.0,118.9799,310.199,96.88662,82.10845,310.2694,58.81752,45.0,10.0,2017.0,252.2727,62.6187175,310.2342,89.1981225
2017-10-18 15:50:00,18.0,79.8198721073,262.559416246,15.0,111.863903939,262.263038681,87.4760932428,71.5317437906,262.855793812,48.4077474568,50.0,10.0,2017.0,234.43402,201.82046,18.0,15.0,87.792826,223.41714,66.48916,48.577808,242.6176,31.344898,52.0,10.0,2017.0,18.0,15.0,112.1417,288.7481,91.57626,77.47799,288.8635,56.06896,50.0,10.0,2017.0,233.01737,58.551173,288.8058,84.3162275
