,Day_M,GTIBackavg_M,GTIFrontavg_M,Hour_M,IMT1_M,IMT2_M,IMT3_M,IMT4_M,IMT5_M,IMT6_M,Minute_M,Month_M,Year_M,CM11_1,CM11_2,Day,Hour,IMT1,IMT2,IMT3,IMT4,IMT5,IMT6,Minute,Month,Year,Day_R,Hour_R,IMT1_Rad,IMT2_Rad,IMT3_Rad,IMT4_Rad,IMT5_Rad,IMT6_Rad,Minute_R,Month_R,Year_R,GTIFrontavg,GTIBackavg,GTIFrontavg_Rad,GTIBackavg_Rad
2017-11-29 09:50:00,29.0,50.7100844315,871.919425107,9.0,44.351574763,867.856592557,49.8961945094,53.1140287523,875.982257657,55.4785397015,50.0,11.0,2017.0,76.538584,80.09065,29.0,9.0,32.514276,602.19432,41.28904,38.908292,624.16524,35.575242,52.0,11.0,2017.0,29.0,9.0,60.66225,887.5659,61.60814,63.30755,902.9478,34.2513,50.0,11.0,2017.0,613.17978,37.0717125,895.25685,54.95731
2017-11-29 09:55:00,29.0,57.4036140467,806.15414349,9.0,50.3111913542,802.014096761,57.2227634658,60.387328263,810.294190218,61.6931731038,55.0,11.0,2017.0,72.309282,75.789492,29.0,9.0,32.239446,566.84368,40.537378,37.680728,587.72458,33.80383,57.0,11.0,2017.0,29.0,9.0,62.84437,819.0436,63.20367,64.60091,834.5579,36.96395,55.0,11.0,2017.0,577.28413,36.0653455,826.80075,56.903225
2017-11-29 10:00:00,29.0,55.027882594,615.909466062,10.0,48.5483140356,611.701364913,54.5652937454,57.6232185158,620.117567212,59.3747040793,0.0,11.0,2017.0,65.314706,68.563702,29.0,10.0,28.971588,442.32732,34.548292,31.011858,457.56124,28.291516,2.0,11.0,2017.0,29.0,10.0,60.27447,621.4402,59.30034,60.33787,637.4857,36.94873,0.0,11.0,2017.0,449.94428,30.7058135,629.46295,54.2153525
2017-11-29 10:05:00,29.0,48.0613550423,347.377184927,10.0,44.3377038447,344.284587631,47.7195987131,49.554930883,350.469782222,50.6331867284,5.0,11.0,2017.0,56.21052,59.278472,29.0,10.0,24.88916,296.69784,26.929256,22.84907,304.58622,21.897034,7.0,11.0,2017.0,29.0,10.0,52.8754,359.4874,51.81868,52.7483,376.5299,34.97508,5.0,11.0,2017.0,300.64203,24.14113,368.00865,48.104365
2017-11-29 10:10:00,29.0,49.7631272804,384.959105867,10.0,45.7682769962,381.882469974,49.6976345697,51.4876324607,388.03574176,52.0989650947,10.0,11.0,2017.0,52.305572,55.148464,29.0,10.0,25.70139,332.55412,28.965044,24.681482,342.20914,22.30174,12.0,11.0,2017.0,29.0,10.0,54.38111,401.3788,52.89963,53.72288,416.2062,34.32968,10.0,11.0,2017.0,337.38163,25.412414,408.7925,48.833325
2017-11-29 10:15:00,29.0,47.6397179668,350.322052115,10.0,44.0050071441,347.313678172,47.5310882275,49.1828373515,353.330426058,49.8399391442,15.0,11.0,2017.0,49.70016,51.877578,29.0,10.0,23.38667,308.7855,27.193792,22.978756,316.9436,20.667292,17.0,11.0,2017.0,29.0,10.0,51.98547,366.7334,50.86797,51.72489,381.8688,32.13798,15.0,11.0,2017.0,312.86455,23.5566275,374.3011,46.6790775
2017-11-29 10:20:00,29.0,48.620770119,436.396526803,10.0,43.9752025977,432.809715151,48.4329716298,50.5264255332,439.983338456,51.5484807155,20.0,11.0,2017.0,51.482418,52.90379,29.0,10.0,24.200656,358.38686,30.046856,26.036074,369.12758,22.841052,22.0,11.0,2017.0,29.0,10.0,53.16592,447.5368,52.28143,53.02713,464.0902,28.98804,20.0,11.0,2017.0,363.75722,25.7811595,455.8135,46.86563
2017-11-29 10:25:00,29.0,54.4425699642,604.485685996,10.0,48.4115494946,600.268997733,54.7237029416,57.0888182483,608.702374259,57.5462091722,25.0,11.0,2017.0,56.025724,57.02205,29.0,10.0,27.665348,453.58938,36.56992,32.695404,468.3397,27.73332,27.0,11.0,2017.0,29.0,10.0,60.27334,610.0435,60.07146,60.56839,624.1039,31.05307,25.0,11.0,2017.0,460.96454,31.165998,617.0737,52.991565
2017-11-29 10:30:00,29.0,54.8477784369,615.046959845,10.0,49.1331532075,610.699813636,54.9119221868,57.2659757785,619.394106055,58.0800625751,30.0,11.0,2017.0,67.388608,69.38348,29.0,10.0,29.022464,464.6314,38.538018,35.139604,478.76882,30.58572,32.0,11.0,2017.0,29.0,10.0,61.97321,618.3405,61.45686,61.97121,635.6847,33.52174,30.0,11.0,2017.0,471.70011,33.3214515,627.0126,54.730755
2017-11-29 10:35:00,29.0,59.2310353259,639.421808543,10.0,53.4490689158,635.008501485,59.7648916497,61.8611750583,643.835115601,61.8490056797,35.0,11.0,2017.0,68.846886,70.925904,29.0,10.0,30.311388,481.72002,40.301914,36.699888,496.19604,31.9425,37.0,11.0,2017.0,29.0,10.0,64.9674,644.1313,69.44201,64.47965,659.4866,35.19522,35.0,11.0,2017.0,488.95803,34.8139225,651.80895,58.52107
