,Day_M,GTIBackavg_M,GTIFrontavg_M,Hour_M,IMT1_M,IMT2_M,IMT3_M,IMT4_M,IMT5_M,IMT6_M,Minute_M,Month_M,Year_M,CM11_1,CM11_2,Day,Hour,IMT1,IMT2,IMT3,IMT4,IMT5,IMT6,Minute,Month,Year,Day_R,Hour_R,IMT1_Rad,IMT2_Rad,IMT3_Rad,IMT4_Rad,IMT5_Rad,IMT6_Rad,Minute_R,Month_R,Year_R,GTIFrontavg,GTIBackavg,GTIFrontavg_Rad,GTIBackavg_Rad
2017-09-02 05:35:00,2.0,1.25629440971,8.25007116193,5.0,0.773900095761,8.2151969914,0.882425881417,1.21063958727,8.28494533247,2.15821207439,35.0,9.0,2017.0,5.0337566,4.9804072,2.0,5.0,0.0,7.7489114,2.0391866,-0.2039193,6.7972908,0.4078386,37.0,9.0,2017.0,2.0,5.0,1.589085,8.194366,1.83542,2.143419,8.295924,2.731978,35.0,9.0,2017.0,7.2731011,0.560776475,8.245145,2.0749755
2017-09-02 05:40:00,2.0,2.40369847847,12.4205885624,5.0,1.66922629232,12.3682802033,1.75594090762,2.35715474791,12.4728969215,3.83247196604,40.0,9.0,2017.0,8.7687156,9.274116,2.0,5.0,0.067973,11.8272802,2.5149962,-0.0679727,10.7397142,1.8352672,42.0,9.0,2017.0,2.0,5.0,2.540256,12.45035,2.918357,3.357456,12.79591,4.281029,40.0,9.0,2017.0,11.2834972,1.087565925,12.62313,3.2742745
2017-09-02 05:45:00,2.0,4.21110062463,16.9944161398,5.0,3.55996330042,16.9234202051,3.61629049908,4.15840893122,17.0654120744,5.50973976781,45.0,9.0,2017.0,13.640436,16.31582,2.0,5.0,1.01957556,16.313206,3.398585,0.81566118,14.953772,3.126697,47.0,9.0,2017.0,2.0,5.0,4.45882,18.57743,4.794949,5.166531,18.90029,5.845489,45.0,9.0,2017.0,15.633489,2.090129685,18.73886,5.06644725
2017-09-02 05:50:00,2.0,7.45035707823,17.9124459529,5.0,5.66422265659,17.6919477999,7.31771367708,7.94211306826,18.132944106,8.87737891098,50.0,9.0,2017.0,21.435104,22.670544,2.0,5.0,1.9712378,21.003882,4.4862654,2.175166,19.71238,4.1464004,52.0,9.0,2017.0,2.0,5.0,6.131533,26.98258,10.97435,13.73422,27.30905,15.56457,50.0,9.0,2017.0,20.358131,3.1947674,27.145815,11.60116825
2017-09-02 05:55:00,2.0,9.50292955035,23.5511132705,5.0,3.76876307085,23.2849122554,9.2833980037,11.4823619549,23.8173142856,13.477195172,55.0,9.0,2017.0,32.477522,31.257958,2.0,5.0,2.3112252,25.559436,5.4381746,3.330883,24.06394,5.574135,57.0,9.0,2017.0,2.0,5.0,4.471081,36.91348,8.384592,10.91698,37.028,13.26519,55.0,9.0,2017.0,24.811688,4.16360445,36.97074,9.25946075
2017-09-02 06:00:00,2.0,10.8723226716,30.4513126701,6.0,3.61966151185,30.1389266014,8.44567115611,13.2717939711,30.7636987387,18.1521640474,0.0,9.0,2017.0,36.53724,41.21932,2.0,6.0,2.7191472,30.99828,5.4382942,3.5348914,28.483068,7.613612,2.0,9.0,2017.0,2.0,6.0,4.981981,47.33482,8.264174,12.06182,47.78206,17.02323,0.0,9.0,2017.0,29.740674,4.8264862,47.55844,10.58280125
2017-09-02 06:05:00,2.0,11.5929243151,38.420125252,6.0,3.89501810491,38.0611330362,7.45232809662,12.980933159,38.7791174678,22.0434178997,5.0,9.0,2017.0,52.45132,53.241704,2.0,6.0,3.3989862,38.748452,5.8462584,5.0305036,33.446034,11.4206026,7.0,9.0,2017.0,2.0,6.0,6.529816,59.65408,8.975345,12.66593,59.85665,21.07108,5.0,9.0,2017.0,36.097243,6.4240877,59.755365,12.31054275
2017-09-02 06:10:00,2.0,12.4439651113,47.7192929589,6.0,4.35592971196,47.3137167101,7.23441479566,12.6330306934,48.1248692078,25.5524852442,10.0,9.0,2017.0,56.511154,63.37495,2.0,6.0,3.4670026,43.0996,7.1379472,7.8857316,39.904524,17.402996,12.0,9.0,2017.0,2.0,6.0,7.316525,72.63012,9.192151,13.08225,72.80156,23.77125,10.0,9.0,2017.0,41.502062,8.97341935,72.71584,13.340544
2017-09-02 06:15:00,2.0,13.2109800002,57.9065859489,6.0,4.93021209316,57.4553174703,7.27134334014,12.3757786727,58.3578544274,28.2665858948,15.0,9.0,2017.0,55.374404,79.003952,2.0,6.0,4.214774,52.956586,7.5458094,8.4295524,47.858094,20.801962,17.0,9.0,2017.0,2.0,6.0,8.020194,85.72044,9.672515,13.62819,86.54402,27.23548,15.0,9.0,2017.0,50.40734,10.24802445,86.13223,14.63909475
2017-09-02 06:20:00,2.0,14.2086994721,69.5847371142,6.0,5.7234716132,69.0881956509,7.60859188158,12.6021064528,70.0812785775,30.900627941,20.0,9.0,2017.0,60.083832,91.713538,2.0,6.0,4.8264428,68.861766,8.0893894,8.8371492,57.305498,23.044562,22.0,9.0,2017.0,2.0,6.0,19.65796,101.0436,23.97563,27.48677,102.3898,37.55264,20.0,9.0,2017.0,63.083632,11.19938585,101.7167,27.16825
