,Unnamed: 0,ApparentTemperatureCelsius,CloudCoveragePercent,DateHrGmt,DateHrLwt,DiffuseHorizontalRadiationWsqm,DirectNormalIrradianceWsqm,DownwardSolarRadiationWsqm,HeatIndexCelsius,Latitude,Longitude,MslPressureKilopascals,PrecipitationPreviousHourCentimeters,ReferenceEvapotranspiration,ReferenceEvapotranspirationMillimetersPerHour,RelativeHumidityPercent,SiteId,SnowfallCentimeters,SurfaceAirPressureKilopascals,SurfaceDewpointTemperatureCelsius,SurfaceTemperatureCelsius,SurfaceWetBulbTemperatureCelsius,SurfaceWindGustsKph,WindChillTemperatureCelsius,WindDirectionDegrees,WindSpeedKph,sun_zenith,sun_azimuth,surface_tilt,surface_azimuth,dhi,dni,ghi,poa_irradiance,trina_model,silfab_model,sequential_month,month,sequential_day,silfab_meas,silfab_Keeton_meas,trina_meas
2017-08-17 01:00:00-07:00,2737,13.7,0,08/17/2017 08:00:00,08/17/2017 01:00:00,0,0,0,13.7,42.07823,-121.27869,101.9,0.0,0.001,,55,2259771403,0.0,86.8,4.76000022888,13.7,9.1,57.6,13.7,352,7.3,124.567355555,357.292872864,0.0,0.0,0,0,0,0.0,0.0,0.0,0,8,0,0.0203839005282,0.00917171590909,
2017-08-17 02:00:00-07:00,2738,12.3,0,08/17/2017 09:00:00,08/17/2017 02:00:00,0,0,0,12.3,42.07823,-121.27869,101.9,0.0,0.001,,60,2259771403,0.0,86.8,4.67000007629,12.3,8.4,52.1,12.3,354,6.2,123.397233001,14.861742761,0.0,0.0,0,0,0,0.0,0.0,0.0,0,8,0,0.0227019753521,0.0114191931818,0.00306306306306
2017-08-17 03:00:00-07:00,2739,11.2,0,08/17/2017 10:00:00,08/17/2017 03:00:00,0,0,0,11.2,42.07823,-121.27869,101.9,0.0,0.001,,64,2259771403,0.0,86.8,4.48000001907,11.2,7.8,46.0,11.2,359,5.6,119.04336189,31.1775499168,0.0,0.0,0,0,0,0.0,0.0,0.0,0,8,0,0.0229494317782,0.0120404022727,
2017-08-17 04:00:00-07:00,2740,10.1,0,08/17/2017 11:00:00,08/17/2017 04:00:00,0,0,0,10.1,42.07823,-121.27869,101.9,0.0,0.001,,67,2259771403,0.0,86.8,4.23000001907,10.1,7.2,41.5,10.1,4,5.0,112.141855508,45.4625530173,0.0,0.0,0,0,0,0.0,0.0,0.0,0,8,0,0.023997946743,0.0127348477273,
2017-08-17 05:00:00-07:00,2741,9.1,0,08/17/2017 12:00:00,08/17/2017 05:00:00,0,0,0,9.1,42.07823,-121.27869,101.9,0.0,0.0,,74,2259771403,0.0,86.8,4.51999998093,9.1,6.9,38.7,9.1,9,4.3,103.42281451,57.7776403113,0.0,0.0,0,0,0,0.0,0.0,0.0,0,8,0,0.0244146126761,0.0129494954545,
2017-08-17 06:00:00-07:00,2742,8.7,0,08/17/2017 13:00:00,08/17/2017 06:00:00,0,0,0,8.7,42.07823,-121.27869,101.9,0.0,0.001,,79,2259771403,0.0,86.8,5.13000011444,8.7,7.0,45.6,8.7,29,3.7,93.4999909956,68.6203350578,0.0,0.0,0,0,0,0.0,0.0,0.0,0,8,0,0.0247192891725,0.0137020204545,
2017-08-17 07:00:00-07:00,2743,12.0,0,08/17/2017 14:00:00,08/17/2017 07:00:00,40,217,65,12.0,42.07823,-121.27869,101.9,0.0,0.005,,67,2259771403,0.0,86.8,6.13000011444,12.0,8.9,46.0,12.0,24,2.2,82.8371744532,78.6148022085,13.9974591358,90.0,40,217,65,129.153752144,30.7785018312,29.3520168551,0,8,0,6.86682511664,9.15806565682,
2017-08-17 08:00:00-07:00,2744,18.3,0,08/17/2017 15:00:00,08/17/2017 08:00:00,119,610,254,18.3,42.07823,-121.27869,101.9,0.0,0.008,,40,2259771403,0.0,86.8,4.67000007629,18.3,11.0,42.8,18.3,294,0.8,71.7956040623,88.4272527568,45.0287998338,90.0,119,610,254,764.543971243,172.605341262,167.446988901,0,8,0,99.5529528556,111.107914141,11.7074574595
2017-08-17 09:00:00-07:00,2745,23.2,0,08/17/2017 16:00:00,08/17/2017 09:00:00,135,811,463,23.2,42.07823,-121.27869,101.9,0.0,0.014,,29,2259771403,0.0,86.9,4.09000015259,23.2,12.8,41.1,23.2,284,3.0,60.7054912978,98.8346926915,60.0,90.0,135,811,463,1038.68106273,218.733572295,213.208185535,0,8,0,190.004956475,194.951800505,169.396196196
2017-08-17 10:00:00-07:00,2746,25.7,0,08/17/2017 17:00:00,08/17/2017 10:00:00,128,914,649,25.7,42.07823,-121.27869,101.8,0.0,0.019,,22,2259771403,0.0,86.9,2.82999992371,25.7,13.3,40.6,25.7,288,4.8,49.9623215332,110.912682702,48.0294663947,90.0,128,914,649,1070.93276387,222.481221402,216.907378715,0,8,0,221.759811228,222.905977273,237.51695195
