Latitude(deg),Longitude(deg),Time Zone,Tilt(deg),PV Azimuth(deg),GroundClearance(panel slope lengths),Row-to-Row-Distance rtr,RowType(first interior last single),TransmissionFactor(open area fraction),CellRows(# hor rows in panel),PVfrontSurface(glass or AR glass),PVbackSurface(glass or AR glass),CellOffsetFromBack(panel slope lengths),Albedo,Tracking,Backtracking
42.07823,-121.27869,-7,0,180,0.75,2.857142857142857,interior,0.0,6,glass,glass,0,0.44,True,True
Year,Month,Day,Hour,Minute,DNI,DHI,decHRs,ghi,inc,zen,azm,pvFrontSH,aveFrontGroundGHI,GTIfrontBroadBand,pvBackSH,aveBackGroundGHI,GTIbackBroadBand,maxShadow,Tamb,Vwind,No_1_RowFrontGTI,No_2_RowFrontGTI,No_3_RowFrontGTI,No_4_RowFrontGTI,No_5_RowFrontGTI,No_6_RowFrontGTI,No_1_RowBackGTI,No_2_RowBackGTI,No_3_RowBackGTI,No_4_RowBackGTI,No_5_RowBackGTI,No_6_RowBackGTI,beta,sazm,height,D
2017,8,17,7,0,217,40,6.5,54.320250259987354,79.13191784559866,86.21619077555836,75.36059566419257,0.0,21.064506308125587,89.58011254462518,1.0,21.064506308125587,24.208949009090112,2.857142857142857,12.0,0.61111111111111116,68.642556032451992,68.655180122372997,68.709873881642963,68.765845034689789,68.758621004973563,68.814631150229715,7.9850083955629279,7.728080712626725,7.6268965022961037,7.6990848068232918,7.9405121657271343,8.252955782678935,7.3253415650143126,90.0,0.6862483475658162,1.8653047114519163
2017,8,17,8,0,610,119,7.5,253.36250407343627,50.999101395532755,77.27531956857925,83.4978407766424,0.0,60.460428092264351,558.10380622265905,1.0,60.460428092264351,112.9764872883746,2.857142857142857,18.300000000000001,0.22222222222222221,532.75633764482325,533.9212448901452,534.67177998965576,536.30443909558778,537.8091787404926,538.74620722378313,22.549325532076942,22.571409409595102,23.176807935945408,24.181020844106676,25.375965419881233,26.948863661974272,26.482803733354004,90.0,0.5270354024749875,1.9620746178437316
2017,8,17,9,0,811,135,8.5,462.28615097630984,21.389303574919673,66.19915715013266,93.49779888550576,0.0,130.61631991754854,984.51493601982645,1.0,130.61631991754854,200.87004504150875,2.8571428571428577,23.199999999999999,0.83333333333333337,933.74851183157716,935.13577541929305,936.54401487971836,938.01453539813542,944.48663968886979,952.85005129011483,67.631628311688615,74.717538123175004,75.056161877251839,72.833778516081026,71.746416672445903,71.404445611565748,44.999999999999993,90.0,0.39644660940672627,2.1500360759563097
2017,8,17,10,0,914,128,9.5,649.16542346306744,15.118447413941375,55.235626271622216,104.57617372020412,0.0,279.44083329213748,1100.6748616822251,1.0,279.44083329213748,272.71419668965495,2.2458475073989694,25.699999999999999,1.3333333333333333,1040.4732668243585,1041.4150794821287,1042.1455341006067,1042.9808293567839,1049.6091525773995,1059.8433184363043,154.4620941108104,125.41427943658977,102.49343799340485,87.667811473602526,84.470195793751159,86.730892631736268,44.999999999999993,90.0,0.39644660940672627,2.1500360759563097
2017,8,17,11,0,967,113,10.5,798.17408304777143,19.39193936597099,44.88241516121778,118.06843097367563,0.0,432.34993622708066,1091.9415628559402,1.0,432.34993622708066,329.65801611906772,1.7002919038454336,27.399999999999999,1.8888888888888888,1042.2529178213101,1041.6333259453349,1040.9985240875869,1041.7127069742312,1045.3769117573856,1052.5229391425214,170.90598781461534,134.05470274173356,113.46107881314295,104.65785422780951,104.73511939805755,110.24462573111444,41.308098172846165,90.0,0.4199460775623999,2.105972015633272
2017,8,17,12,0,984,104,11.5,900.16389659274705,25.0327021989612,35.99096709194376,136.05756455848368,0.0,551.91606192073232,1028.6499705117649,1.0,551.91606192073232,386.34582654089945,1.3844162726449736,28.699999999999999,1.9722222222222223,1001.3262389663666,1001.2418698792738,1000.7997711612052,1003.8126842616261,1006.2902831865542,1007.6041259153308,195.53727616270965,162.59636361372796,142.9926188640695,138.66544069776586,145.5267008174051,158.95564599466809,26.748395642634435,90.0,0.5249632818633714,1.9641513107320403
2017,8,17,13,0,982,96,12.5,945.40344971515947,28.285821350804788,30.120381869787412,160.78778758819192,0.0,605.35242739861542,968.09789510418159,1.0,605.35242739861542,415.86948765509123,1.1433430199265273,30.5,1.8333333333333333,959.12288275557125,959.54300026867145,959.86857645887596,960.3746213017821,960.85256596552779,961.05362897577834,208.8677387815583,177.13690327371495,160.20842023133648,158.88453403870454,171.63764310295267,194.26855301562694,10.808305201941366,90.0,0.6562381508913391,1.8748827782396682
2017,8,17,14,0,952,100,13.5,930.44756698278866,28.73812732410608,29.27076405653874,190.46330068026668,0.0,595.57686688312401,937.64800392219274,1.0,595.57686688312401,410.17718109671301,1.0763561913896527,31.199999999999999,2.1666666666666665,932.19078315713875,932.35350986726144,932.5550762373133,932.55620505090087,932.36373122715395,932.65262780070566,201.58349109947392,173.1439235142015,157.04041360226611,156.45582751027146,169.95209543169364,194.5933105605252,5.8121500052197774,270.0,0.6993663665400807,1.8622836004383794
2017,8,17,15,0,865,138,14.5,856.49567766850589,26.32653953934228,33.83640471763803,217.2068444388757,0.0,532.85547610909862,943.08441748056612,1.0,532.85547610909862,375.42059846236282,1.3069177355831325,30.899999999999999,3.0833333333333335,919.18352015601556,919.23500957840361,920.91855157086843,922.41767957556647,926.24730169828194,927.42120109169718,190.66327767434993,158.85927365102373,140.64626424741016,138.19376129151274,144.8643459990262,160.29729938325556,22.065869915163447,270.0,0.5621638601667327,1.9303902805129622
2017,8,17,16,0,808,132,15.5,732.13121823141591,21.372681541940487,42.03493856079014,237.02536557878128,0.0,416.16494165897046,948.32442062052928,1.0,416.16494165897046,312.06599367417618,1.5928990342949703,30.899999999999999,3.8611111111111112,904.65888185858262,904.16138458011017,904.29894944261559,903.88757468532685,912.81444488670172,917.4549139080018,158.00394320297005,127.11413200462628,106.29108077409333,102.66550531140253,105.27249300821813,112.02272684619014,37.099713896411522,270.0,0.4483979974787024,2.0595559162388746
