date,DNI,DHI,DryBulb,Wspd
2017-01-01 07:00:00,0.0,0.0,-2.19,0.935
2017-01-01 08:00:00,0.0,28.43,-1.98,0.955
2017-01-01 09:00:00,0.0,60.17,-1.8,1.3450000000000002
2017-01-01 10:00:00,0.0,93.09,-1.47,1.065
2017-01-01 11:00:00,0.0,120.62,-1.1,0.925
2017-01-01 12:00:00,0.0,166.29,-0.725,0.96
2017-01-01 13:00:00,562.605,80.32,2.0149999999999997,0.64
2017-01-01 14:00:00,501.18,38.015,2.74,0.765
2017-01-01 15:00:00,0.0,15.355,0.21000000000000002,0.355
2017-01-02 07:00:00,0.0,10.379999999999999,-6.335,1.185
2017-01-02 08:00:00,371.485,90.15,-3.41,1.505
2017-01-02 09:00:00,296.27,119.125,-1.86,0.92
2017-01-02 10:00:00,383.43,118.595,0.87,0.5800000000000001
2017-01-02 11:00:00,422.565,116.93,2.53,1.22
2017-01-02 12:00:00,155.575,177.71499999999997,3.605,1.9849999999999999
2017-01-02 13:00:00,28.8,141.3,3.74,1.585
2017-01-02 14:00:00,0.0,62.385000000000005,3.2,2.44
2017-01-02 15:00:00,0.0,22.765,2.59,1.255
2017-01-03 07:00:00,0.0,0.0,3.08,3.9400000000000004
2017-01-03 08:00:00,0.0,24.965,2.61,3.525
2017-01-03 09:00:00,0.0,94.58,3.085,3.7800000000000002
2017-01-03 10:00:00,0.0,135.42000000000002,3.475,3.88
2017-01-03 11:00:00,766.29,133.37,5.16,3.4850000000000003
2017-01-03 12:00:00,761.095,136.53,6.305,3.545
2017-01-03 13:00:00,672.525,86.61,5.92,3.565
2017-01-03 14:00:00,512.135,44.46,5.890000000000001,2.61
2017-01-03 15:00:00,0.0,19.42,3.8600000000000003,2.4400000000000004
2017-01-04 07:00:00,0.0,0.0,-0.725,0.685
2017-01-04 08:00:00,0.0,29.77,-0.39,0.655
2017-01-04 09:00:00,0.0,42.790000000000006,0.21500000000000002,0.69
2017-01-04 10:00:00,0.0,64.83,0.49,0.8200000000000001
2017-01-04 11:00:00,0.0,93.89,0.77,1.1150000000000002
